Timestamp,Voltage,Time
18:11:00.319,2.36,0.319
18:11:00.353,2.37,0.353
18:11:00.427,2.37,0.427
18:11:00.464,2.38,0.464
18:11:00.502,2.39,0.502
18:11:00.571,2.38,0.571
18:11:00.609,2.38,0.609
18:11:00.676,2.38,0.676
18:11:00.710,2.37,0.71
18:11:00.778,2.37,0.778
18:11:00.812,2.36,0.812
18:11:00.845,2.36,0.845
18:11:00.917,2.37,0.917
18:11:00.954,2.36,0.954
18:11:01.022,2.36,1.022
18:11:01.059,2.36,1.059
18:11:01.127,2.36,1.127
18:11:01.161,2.36,1.161
18:11:01.228,2.36,1.228
18:11:01.263,2.36,1.263
18:11:01.297,2.35,1.297
18:11:01.370,2.35,1.37
18:11:01.408,2.35,1.408
18:11:01.479,2.35,1.479
18:11:01.512,2.35,1.512
18:11:01.551,2.34,1.551
18:11:01.619,2.34,1.619
18:11:01.653,2.35,1.653
18:11:01.726,2.35,1.726
18:11:01.759,2.36,1.759
18:11:01.830,2.37,1.83
18:11:01.864,2.37,1.864
18:11:01.933,2.37,1.933
18:11:01.969,2.38,1.969
18:11:02.007,2.38,2.007
18:11:02.078,2.39,2.078
18:11:02.113,2.39,2.113
18:11:02.181,2.39,2.181
18:11:02.214,2.39,2.214
18:11:02.248,2.39,2.248
18:11:02.315,2.39,2.315
18:11:02.352,2.39,2.352
18:11:02.423,2.39,2.423
18:11:02.459,2.39,2.459
18:11:02.496,2.38,2.496
18:11:02.564,2.38,2.564
18:11:02.636,2.38,2.636
18:11:02.671,2.37,2.671
18:11:02.709,2.37,2.709
18:11:02.777,2.37,2.777
18:11:02.810,2.37,2.81
18:11:02.879,2.36,2.879
18:11:02.913,2.36,2.913
18:11:02.950,2.35,2.95
18:11:03.025,2.35,3.025
18:11:03.059,2.35,3.059
18:11:03.131,2.34,3.131
18:11:03.167,2.34,3.167
18:11:03.203,2.34,3.203
18:11:03.276,2.35,3.276
18:11:03.309,2.36,3.309
18:11:03.379,2.37,3.379
18:11:03.413,2.37,3.413
18:11:03.450,2.38,3.45
18:11:03.519,2.38,3.519
18:11:03.554,2.38,3.554
18:11:03.628,2.38,3.628
18:11:03.662,2.38,3.662
18:11:03.729,2.38,3.729
18:11:03.765,2.38,3.765
18:11:03.803,2.38,3.803
18:11:03.874,2.37,3.874
18:11:03.910,2.37,3.91
18:11:03.979,2.37,3.979
18:11:04.018,2.36,4.018
18:11:04.056,2.36,4.056
