Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55,Var56,Var57,Var58,Var59,Var60,Var61,Var62,Var63,Var64,Var65,Var66,Var67,Var68,Var69,Var70,Var71,Var72,Var73,Var74,Var75,Var76,Var77,Var78,Var79,Var80
3,9,1.44,149.90625,154.0625,4.15625,1,0,NaN,-12,-36,2.34,149.875,154.125,4.25,1.011215304,0,NaN,-12,-36,2.34,149.75,154.25,4.5,1,0,NaN,-12,-36,2.52,149.75,154.25,4.5,1,0,NaN,-12,-36,2.52,149.75,154.25,4.5,1,0,NaN,-12,-36,2.52,149.75,154.25,4.5,1,0,NaN,-12,-36,2.52,149.75,154.25,4.5,1,0,NaN,-12,-36,2.52,149.75,154.25,4.5,1,0,NaN,-12,-36,2.52,149.75,154.25,4.5,1,0
4,12,1.38,149.90625,154.0625,4.15625,1,0,NaN,-11,-33,2.28,149.90625,154.09375,4.1875,1.003752358,0,NaN,-11,-33,2.28,149.75,154.25,4.5,1,0,NaN,-11,-33,2.46,149.75,154.25,4.5,1,0,NaN,-11,-33,2.46,149.75,154.25,4.5,1,0,NaN,-11,-33,2.46,149.75,154.25,4.5,1,0,NaN,-11,-33,2.46,149.75,154.25,4.5,1,0,NaN,-11,-33,2.46,149.75,154.25,4.5,1,0,NaN,-11,-33,2.46,149.75,154.25,4.5,1,0
5,15,1.32,149.90625,154.0625,4.15625,1,0,NaN,-10,-30,2.22,149.9375,154.03125,4.09375,0.9924527223,0,NaN,-10,-30,2.22,149.75,154.25,4.5,1,0,NaN,-10,-30,2.4,149.75,154.25,4.5,1,0,NaN,-10,-30,2.4,149.75,154.25,4.5,1,0,NaN,-10,-30,2.4,149.75,154.25,4.5,1,0,NaN,-10,-30,2.4,149.75,154.25,4.5,1,0,NaN,-10,-30,2.4,149.75,154.25,4.5,1,0,NaN,-10,-30,2.4,149.75,154.25,4.5,1,0
6,18,1.26,149.9375,154.0625,4.125,0.9962335083,0,NaN,-9,-27,2.16,149.9375,154.0625,4.125,0.9962335083,0,NaN,-9,-27,2.16,149.75,154.25,4.5,1,0,NaN,-9,-27,2.34,149.75,154.25,4.5,1,0,NaN,-9,-27,2.34,149.75,154.25,4.5,1,0,NaN,-9,-27,2.34,149.75,154.25,4.5,1,0,NaN,-9,-27,2.34,149.75,154.25,4.5,1,0,NaN,-9,-27,2.34,149.75,154.25,4.5,1,0,NaN,-9,-27,2.34,149.75,154.25,4.5,1,0
7,21,1.2,149.9375,154.0625,4.125,0.9962335083,0,NaN,-8,-24,2.1,149.9375,154.0625,4.125,0.9962335083,0,NaN,-8,-24,2.1,149.75,154.25,4.5,1,0,NaN,-8,-24,2.28,149.75,154.25,4.5,1,0,NaN,-8,-24,2.28,149.75,154.25,4.5,1,0,NaN,-8,-24,2.28,149.75,154.25,4.5,1,0,NaN,-8,-24,2.28,149.75,154.25,4.5,1,0,NaN,-8,-24,2.28,149.75,154.25,4.5,1,0,NaN,-8,-24,2.28,149.75,154.25,4.5,1,0
8,24,1.14,149.9375,154.0625,4.125,0.9962335083,0,NaN,-7,-21,2.04,149.90625,154.0625,4.15625,1,0,NaN,-7,-21,2.04,149.75,154.25,4.5,1,0,NaN,-7,-21,2.22,149.75,154.25,4.5,1,0,NaN,-7,-21,2.22,149.75,154.25,4.5,1,0,NaN,-7,-21,2.22,149.75,154.25,4.5,1,0,NaN,-7,-21,2.22,149.75,154.25,4.5,1,0,NaN,-7,-21,2.22,149.75,154.25,4.5,1,0,NaN,-7,-21,2.22,149.75,154.25,4.5,1,0
9,27,1.08,149.9375,154.0625,4.125,0.9962335083,0,NaN,-6,-18,1.98,149.90625,154.0625,4.15625,1,0,NaN,-6,-18,1.98,149.75,154.25,4.5,1,0,NaN,-6,-18,2.16,149.75,154.25,4.5,1,0,NaN,-6,-18,2.16,149.75,154.25,4.5,1,0,NaN,-6,-18,2.16,149.75,154.25,4.5,1,0,NaN,-6,-18,2.16,149.75,154.25,4.5,1,0,NaN,-6,-18,2.16,149.75,154.25,4.5,1,0,NaN,-6,-18,2.16,149.75,154.25,4.5,1,0
10,30,1.02,149.9375,154.0625,4.125,0.9962335083,0,NaN,-5,-15,1.92,149.90625,154.0625,4.15625,1,0,NaN,-5,-15,1.92,149.75,154.25,4.5,1,0,NaN,-5,-15,2.1,149.75,154.25,4.5,1,0,NaN,-5,-15,2.1,149.75,154.25,4.5,1,0,NaN,-5,-15,2.1,149.75,154.25,4.5,1,0,NaN,-5,-15,2.1,149.75,154.25,4.5,1,0,NaN,-5,-15,2.1,149.75,154.25,4.5,1,0,NaN,-5,-15,2.1,149.75,154.25,4.5,1,0
11,33,0.96,149.9375,154.0625,4.125,0.9962335083,0,NaN,-4,-12,1.86,149.90625,154.0625,4.15625,1,0,NaN,-4,-12,1.86,149.75,154.25,4.5,1,0,NaN,-4,-12,2.04,149.75,154.25,4.5,1,0,NaN,-4,-12,2.04,149.75,154.25,4.5,1,0,NaN,-4,-12,2.04,149.75,154.25,4.5,1,0,NaN,-4,-12,2.04,149.75,154.25,4.5,1,0,NaN,-4,-12,2.04,149.75,154.25,4.5,1,0,NaN,-4,-12,2.04,149.75,154.25,4.5,1,0
12,36,0.9,149.9375,154.03125,4.09375,0.9924527223,0,NaN,-3,-9,1.8,149.90625,154.0625,4.15625,1,0,NaN,-3,-9,1.8,149.75,154.25,4.5,1,0,NaN,-3,-9,1.98,149.75,154.25,4.5,1,0,NaN,-3,-9,1.98,149.75,154.25,4.5,1,0,NaN,-3,-9,1.98,149.75,154.25,4.5,1,0,NaN,-3,-9,1.98,149.75,154.25,4.5,1,0,NaN,-3,-9,1.98,149.75,154.25,4.5,1,0,NaN,-3,-9,1.98,149.75,154.25,4.5,1,0
13,39,0.84,149.9375,154.03125,4.09375,0.9924527223,0,NaN,-2,-6,1.74,149.90625,154.0625,4.15625,1,0,NaN,-2,-6,1.74,149.75,154.25,4.5,1,0,NaN,-2,-6,1.92,149.75,154.25,4.5,1,0,NaN,-2,-6,1.92,149.75,154.25,4.5,1,0,NaN,-2,-6,1.92,149.75,154.25,4.5,1,0,NaN,-2,-6,1.92,149.75,154.25,4.5,1,0,NaN,-2,-6,1.92,149.75,154.25,4.5,1,0,NaN,-2,-6,1.92,149.75,154.25,4.5,1,0
14,42,0.78,149.96875,154.03125,4.0625,0.9886574781,0,NaN,-1,-3,1.68,149.90625,154.0625,4.15625,1,0,NaN,-1,-3,1.68,149.75,154.25,4.5,1,0,NaN,-1,-3,1.86,149.75,154.25,4.5,1,0,NaN,-1,-3,1.86,149.75,154.25,4.5,1,0,NaN,-1,-3,1.86,149.75,154.25,4.5,1,0,NaN,-1,-3,1.86,149.75,154.25,4.5,1,0,NaN,-1,-3,1.86,149.75,154.25,4.5,1,0,NaN,-1,-3,1.86,149.78125,154.25,4.46875,0.9965217286,0
15,45,0.72,150.03125,153.96875,3.9375,0.9733285268,0.0198041941,NaN,0,0,1.62,149.90625,154.0625,4.15625,1,0,NaN,0,0,1.62,149.75,154.25,4.5,1,0,NaN,0,0,1.8,149.75,154.25,4.5,1,0,NaN,0,0,1.8,149.75,154.25,4.5,1,0,NaN,0,0,1.8,149.75,154.25,4.5,1,0,NaN,0,0,1.8,149.75,154.25,4.5,1,0,NaN,0,0,1.8,149.75,154.25,4.5,1,0,NaN,0,0,1.8,149.78125,154.25,4.46875,0.9965217286,0
16,48,0.66,150.53125,153.5,2.96875,0.8451542547,0.04402304237,NaN,1,3,1.56,149.90625,154.0625,4.15625,1,0,NaN,1,3,1.56,149.75,154.21875,4.46875,0.9965217286,0,NaN,1,3,1.74,149.75,154.25,4.5,1,0,NaN,1,3,1.74,149.75,154.25,4.5,1,0,NaN,1,3,1.74,149.75,154.25,4.5,1,0,NaN,1,3,1.74,149.75,154.25,4.5,1,0,NaN,1,3,1.74,149.75,154.25,4.5,1,0,NaN,1,3,1.74,149.78125,154.25,4.46875,0.9965217286,0
17,51,0.6,151.3125,152.65625,1.34375,0.5686020319,0.05080136355,NaN,2,6,1.5,149.9375,154.0625,4.125,0.9962335083,0,NaN,2,6,1.5,149.75,154.21875,4.46875,0.9965217286,0,NaN,2,6,1.68,149.75,154.25,4.5,1,0,NaN,2,6,1.68,149.75,154.25,4.5,1,0,NaN,2,6,1.68,149.75,154.25,4.5,1,0,NaN,2,6,1.68,149.75,154.25,4.5,1,0,NaN,2,6,1.68,149.75,154.25,4.5,1,0,NaN,2,6,1.68,149.78125,154.25,4.46875,0.9965217286,0
18,54,0.54,151.75,152.25,0.5,0.3468439878,-0.01753018306,NaN,3,9,1.44,149.9375,154.0625,4.125,0.9962335083,0,NaN,3,9,1.44,149.75,154.21875,4.46875,0.9965217286,0,NaN,3,9,1.62,149.75,154.25,4.5,1,0,NaN,3,9,1.62,149.75,154.25,4.5,1,0,NaN,3,9,1.62,149.75,154.25,4.5,1,0,NaN,3,9,1.62,149.75,154.25,4.5,1,0,NaN,3,9,1.62,149.78125,154.25,4.46875,0.9965217286,0,NaN,3,9,1.62,149.78125,154.25,4.46875,0.9965217286,0
19,57,0.48,152.21875,151.75,-0.46875,-0.3358302471,-0.1020355918,NaN,4,12,1.38,149.9375,154.0625,4.125,0.9962335083,0,NaN,4,12,1.38,149.75,154.21875,4.46875,0.9965217286,0,NaN,4,12,1.56,149.75,154.25,4.5,1,0,NaN,4,12,1.56,149.75,154.25,4.5,1,0,NaN,4,12,1.56,149.78125,154.25,4.46875,0.9965217286,0,NaN,4,12,1.56,149.75,154.25,4.5,1,0,NaN,4,12,1.56,149.78125,154.25,4.46875,0.9965217286,0,NaN,4,12,1.56,149.78125,154.25,4.46875,0.9965217286,0
20,60,0.42,152.53125,151.4375,-1.09375,-0.512989176,-0.1248236409,NaN,5,15,1.32,149.9375,154.0625,4.125,0.9962335083,0,NaN,5,15,1.32,149.75,154.21875,4.46875,0.9965217286,0,NaN,5,15,1.5,149.75,154.25,4.5,1,0,NaN,5,15,1.5,149.75,154.25,4.5,1,0,NaN,5,15,1.5,149.78125,154.25,4.46875,0.9965217286,0,NaN,5,15,1.5,149.75,154.25,4.5,1,0,NaN,5,15,1.5,149.78125,154.21875,4.4375,0.993031274,0,NaN,5,15,1.5,149.78125,154.21875,4.4375,0.993031274,0
21,63,0.36,152.6875,151.25,-1.4375,-0.5881025945,-0.1185349841,NaN,6,18,1.26,149.9375,154.0625,4.125,0.9962335083,0,NaN,6,18,1.26,149.75,154.21875,4.46875,0.9965217286,0,NaN,6,18,1.44,149.75,154.25,4.5,1,0,NaN,6,18,1.44,149.75,154.25,4.5,1,0,NaN,6,18,1.44,149.78125,154.25,4.46875,0.9965217286,0,NaN,6,18,1.44,149.75,154.25,4.5,1,0,NaN,6,18,1.44,149.78125,154.21875,4.4375,0.993031274,0,NaN,6,18,1.44,149.78125,154.21875,4.4375,0.993031274,0
22,66,0.3,152.75,151.21875,-1.53125,-0.6069769787,-0.09928342658,NaN,7,21,1.2,149.9375,154.0625,4.125,0.9962335083,0,NaN,7,21,1.2,149.75,154.21875,4.46875,0.9965217286,0,NaN,7,21,1.38,149.75,154.25,4.5,1,0,NaN,7,21,1.38,149.75,154.25,4.5,1,0,NaN,7,21,1.38,149.78125,154.25,4.46875,0.9965217286,0,NaN,7,21,1.38,149.78125,154.25,4.46875,0.9965217286,0,NaN,7,21,1.38,149.78125,154.21875,4.4375,0.993031274,0,NaN,7,21,1.38,149.78125,154.21875,4.4375,0.993031274,0
23,69,0.24,152.75,151.21875,-1.53125,-0.6069769787,-0.07722044289,NaN,8,24,1.14,149.9375,154.0625,4.125,0.9962335083,0,NaN,8,24,1.14,149.75,154.21875,4.46875,0.9965217286,0,NaN,8,24,1.32,149.75,154.25,4.5,1,0,NaN,8,24,1.32,149.75,154.25,4.5,1,0,NaN,8,24,1.32,149.78125,154.21875,4.4375,0.993031274,0,NaN,8,24,1.32,149.78125,154.21875,4.4375,0.993031274,0,NaN,8,24,1.32,149.78125,154.21875,4.4375,0.993031274,0,NaN,8,24,1.32,149.78125,154.21875,4.4375,0.993031274,0
24,72,0.18,152.75,151.21875,-1.53125,-0.6069769787,-0.05546691971,NaN,9,27,1.08,149.9375,154.0625,4.125,0.9962335083,0,NaN,9,27,1.08,149.75,154.21875,4.46875,0.9965217286,0,NaN,9,27,1.26,149.75,154.25,4.5,1,0,NaN,9,27,1.26,149.75,154.25,4.5,1,0,NaN,9,27,1.26,149.78125,154.21875,4.4375,0.993031274,0,NaN,9,27,1.26,149.78125,154.21875,4.4375,0.993031274,0,NaN,9,27,1.26,149.78125,154.21875,4.4375,0.993031274,0,NaN,9,27,1.26,149.78125,154.1875,4.40625,0.9895285073,0
25,75,0.12,152.78125,151.21875,-1.5625,-0.6131393395,-0.03371270299,NaN,10,30,1.02,149.9375,154.0625,4.125,0.9962335083,0,NaN,10,30,1.02,149.78125,154.21875,4.4375,0.993031274,0,NaN,10,30,1.2,149.75,154.21875,4.46875,0.9965217286,0,NaN,10,30,1.2,149.78125,154.25,4.46875,0.9965217286,0,NaN,10,30,1.2,149.78125,154.21875,4.4375,0.993031274,0,NaN,10,30,1.2,149.78125,154.21875,4.4375,0.993031274,0,NaN,10,30,1.2,149.78125,154.1875,4.40625,0.9895285073,0,NaN,10,30,1.2,149.8125,154.1875,4.375,0.9860132972,0
26,78,0.06,152.78125,151.1875,-1.59375,-0.6192403787,-0.01134025881,NaN,11,33,0.96,149.9375,154.03125,4.09375,0.9924527223,0,NaN,11,33,0.96,149.78125,154.21875,4.4375,0.993031274,0,NaN,11,33,1.14,149.75,154.21875,4.46875,0.9965217286,0,NaN,11,33,1.14,149.78125,154.21875,4.4375,0.993031274,0,NaN,11,33,1.14,149.78125,154.21875,4.4375,0.993031274,0,NaN,11,33,1.14,149.78125,154.1875,4.40625,0.9895285073,0,NaN,11,33,1.14,149.8125,154.1875,4.375,0.9860132972,0,NaN,11,33,1.14,149.84375,154.15625,4.3125,0.9789450104,0.0100032054
27,81,0,152.78125,151.1875,-1.59375,-0.6192403787,0,NaN,12,36,0.9,149.9375,154.03125,4.09375,0.9924527223,0,NaN,12,36,0.9,149.78125,154.21875,4.4375,0.993031274,0,NaN,12,36,1.08,149.78125,154.21875,4.4375,0.993031274,0,NaN,12,36,1.08,149.78125,154.21875,4.4375,0.993031274,0,NaN,12,36,1.08,149.78125,154.21875,4.4375,0.993031274,0,NaN,12,36,1.08,149.8125,154.15625,4.34375,0.9824855102,0,NaN,12,36,1.08,149.8125,154.15625,4.34375,0.9824855102,0,NaN,12,36,1.08,149.875,154.125,4.25,0.9718253158,0.01212984213
28,84,-0.06,152.78125,151.1875,-1.59375,-0.6192403787,-0.01134025881,NaN,13,39,0.84,149.9375,154.03125,4.09375,0.9924527223,0,NaN,13,39,0.84,149.78125,154.21875,4.4375,0.993031274,0,NaN,13,39,1.02,149.78125,154.21875,4.4375,0.993031274,0,NaN,13,39,1.02,149.78125,154.21875,4.4375,0.993031274,0,NaN,13,39,1.02,149.8125,154.1875,4.375,0.9860132972,0,NaN,13,39,1.02,149.84375,154.125,4.28125,0.9753916592,0.0113891216,NaN,13,39,1.02,149.875,154.125,4.25,0.9718253158,0.01143453791,NaN,13,39,1.02,149.90625,154.09375,4.1875,0.9646530752,0.01393161131
29,87,-0.12,152.78125,151.1875,-1.59375,-0.6192403787,-0.03402077643,NaN,14,42,0.78,150,154,4,0.9810229432,0,NaN,14,42,0.78,149.78125,154.21875,4.4375,0.993031274,0,NaN,14,42,0.96,149.78125,154.21875,4.4375,0.993031274,0,NaN,14,42,0.96,149.8125,154.1875,4.375,0.9860132972,0,NaN,14,42,0.96,149.84375,154.1875,4.34375,0.9824855102,0,NaN,14,42,0.96,149.90625,154.0625,4.15625,0.9610468829,0.01481007907,NaN,14,42,0.96,149.90625,154.09375,4.1875,0.9646530752,0.01308498772,NaN,14,42,0.96,149.9375,154.0625,4.125,0.9574271078,0.01596864169
30,90,-0.18,152.75,151.21875,-1.53125,-0.6069769787,-0.05577499315,NaN,15,45,0.72,150.0625,153.90625,3.84375,0.9616714772,0.01608674775,NaN,15,45,0.72,149.84375,154.125,4.28125,0.9753916592,0.01236722831,NaN,15,45,0.9,149.78125,154.21875,4.4375,0.993031274,0,NaN,15,45,0.9,149.8125,154.1875,4.375,0.9860132972,0,NaN,15,45,0.9,149.875,154.125,4.25,0.9718253158,0.01057249585,NaN,15,45,0.9,149.9375,154,4.0625,0.9501461876,0.01657337725,NaN,15,45,0.9,149.9375,154.0625,4.125,0.9574271078,0.01545236176,NaN,15,45,0.9,149.96875,154,4.03125,0.9464847243,0.01764560753
31,93,-0.24,152.6875,151.25,-1.4375,-0.5881025945,-0.07534615878,NaN,16,48,0.66,150.3125,153.6875,3.375,0.9011271138,0.02953505356,NaN,16,48,0.66,150.0625,153.875,3.8125,0.9204467514,0.02605501315,NaN,16,48,0.84,149.8125,154.1875,4.375,0.9860132972,0,NaN,16,48,0.84,149.84375,154.125,4.28125,0.9753916592,0.008813749329,NaN,16,48,0.84,149.90625,154.0625,4.15625,0.9610468829,0.01385513374,NaN,16,48,0.84,150,154,4,0.9428090416,0.01930346474,NaN,16,48,0.84,150,154,4,0.9428090416,0.01789420154,NaN,16,48,0.84,150,153.96875,3.96875,0.9391189725,0.01888146898
32,96,-0.3,152.625,151.3125,-1.3125,-0.5619514869,-0.09188676522,NaN,17,51,0.6,150.6875,153.3125,2.625,0.7947194142,0.04164133223,NaN,17,51,0.6,150.5,153.5,3,0.8164965809,0.04054685343,NaN,17,51,0.78,149.84375,154.15625,4.3125,0.9789450104,0.008562340219,NaN,17,51,0.78,149.875,154.0625,4.1875,0.9646530752,0.01233111093,NaN,17,51,0.78,150,154,4,0.9428090416,0.01743393721,NaN,17,51,0.78,150.0625,153.875,3.8125,0.9204467514,0.02324808276,NaN,17,51,0.78,150.03125,153.9375,3.90625,0.9316949906,0.0201512739,NaN,17,51,0.78,150.0625,153.9375,3.875,0.9279607271,0.02062325569
33,99,-0.36,152.625,151.34375,-1.28125,-0.5552212862,-0.1082302661,NaN,18,54,0.54,151.125,152.875,1.75,0.6488856845,0.0458019013,NaN,18,54,0.54,151.0625,152.875,1.8125,0.6346477588,0.04617995977,NaN,18,54,0.72,149.9375,154.0625,4.125,0.9574271078,0.01344907233,NaN,18,54,0.72,150,154,4,0.9428090416,0.0172129099,NaN,18,54,0.72,150.0625,153.90625,3.84375,0.9242113755,0.02094819998,NaN,18,54,0.72,150.1875,153.8125,3.625,0.8975274679,0.02543780218,NaN,18,54,0.72,150.125,153.875,3.75,0.9128709292,0.02223654424,NaN,18,54,0.72,150.125,153.875,3.75,0.9128709292,0.02223654424
34,102,-0.42,152.46875,151.5,-0.96875,-0.4827863987,-0.115269206,NaN,19,57,0.48,151.5,152.5,1,0.4905114716,0.04026963847,NaN,19,57,0.48,151.46875,152.5,1.03125,0.4787135539,0.03956657148,NaN,19,57,0.66,150.03125,153.9375,3.90625,0.9316949906,0.01969507588,NaN,19,57,0.66,150.125,153.875,3.75,0.9128709292,0.02167291946,NaN,19,57,0.66,150.1875,153.8125,3.625,0.8975274679,0.02423112693,NaN,19,57,0.66,150.25,153.75,3.5,0.8819171037,0.02640872612,NaN,19,57,0.66,150.1875,153.8125,3.625,0.8975274679,0.02321983633,NaN,19,57,0.66,150.1875,153.8125,3.625,0.8975274679,0.02287872756
35,105,-0.48,152.0625,151.875,-0.1875,-0.2123976976,-0.07997302118,NaN,20,60,0.42,151.75,152.21875,0.46875,0.3358302471,0.02631918421,NaN,20,60,0.42,151.75,152.1875,0.4375,0.3118047822,0.02404281254,NaN,20,60,0.6,150.25,153.75,3.5,0.8819171037,0.02702870796,NaN,20,60,0.6,150.25,153.75,3.5,0.8819171037,0.02563124887,NaN,20,60,0.6,150.28125,153.6875,3.40625,0.8700255424,0.0257787309,NaN,20,60,0.6,150.3125,153.65625,3.34375,0.8620067027,0.02730642639,NaN,20,60,0.6,150.25,153.75,3.5,0.8819171037,0.0235878279,NaN,20,60,0.6,150.21875,153.75,3.53125,0.8858454844,0.02234207255
