Data,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55,Var56,Var57,Var58,Var59,Var60,Var61,Var62,Var63,Var64,Var65,Var66,Var67,Var68,Var69,Var70,Var71,Var72,Var73,Var74,Var75,Var76,Var77,Var78,Var79,Var80,BeforeCollectingThisSetOfData_INoticedThatTheWindTunnelWasCrank,Var82,Var83,Var84,Var85,Var86,Var87
51.5,154.5,-1.68,NaN,NaN,0,NaN,NaN,NaN,51.5,154.5,-1.56,NaN,NaN,0,NaN,NaN,NaN,51.5,154.5,-1.62,NaN,NaN,0,NaN,NaN,51.5,154.5,-1.62,NaN,NaN,0,NaN,NaN,NaN,51.5,154.5,-1.62,NaN,NaN,0,NaN,NaN,NaN,51.5,154.5,-1.68,NaN,NaN,0,NaN,NaN,NaN,51.5,154.5,-1.59,NaN,NaN,0,NaN,NaN,NaN,51.5,154.5,-1.62,NaN,NaN,0,NaN,NaN,NaN,51.5,154.5,-1.68,NaN,NaN,0,NaN,NaN,NaN,NaN,0,1.5,NaN,NaN,NaN,NaN
52,156,-1.71,149.78125,154.21875,4.4375,0.993031274,0,NaN,52,156,-1.59,149.8125,154.1875,4.375,0.9964475909,0,NaN,52,156,-1.65,149.75,154.25,4.5,1,NaN,52,156,-1.65,NaN,NaN,0,NaN,NaN,NaN,52,156,-1.65,NaN,NaN,0,NaN,NaN,NaN,52,156,-1.71,NaN,NaN,0,NaN,NaN,NaN,52,156,-1.62,149.75,154.25,4.5,1,0,NaN,52,156,-1.65,149.75,154.25,4.5,1,0,NaN,52,156,-1.71,149.75,154.25,4.5,1,0,NaN,NaN,0,1.5,NaN,NaN,NaN,NaN
52.5,157.5,-1.74,NaN,NaN,0,NaN,NaN,NaN,52.5,157.5,-1.62,NaN,NaN,0,NaN,NaN,NaN,52.5,157.5,-1.68,NaN,NaN,0,NaN,NaN,52.5,157.5,-1.68,NaN,NaN,0,NaN,NaN,NaN,52.5,157.5,-1.68,NaN,NaN,0,NaN,NaN,NaN,52.5,157.5,-1.74,NaN,NaN,0,NaN,NaN,NaN,52.5,157.5,-1.65,NaN,NaN,0,NaN,NaN,NaN,52.5,157.5,-1.68,NaN,NaN,0,NaN,NaN,NaN,52.5,157.5,-1.74,NaN,NaN,0,NaN,NaN,NaN,NaN,0,1.5,NaN,NaN,NaN,NaN
53,159,-1.77,149.75,154.21875,4.46875,0.9965217286,0,NaN,53,159,-1.65,149.8125,154.1875,4.375,0.9964475909,0,NaN,53,159,-1.71,149.75,154.25,4.5,1,NaN,53,159,-1.71,NaN,NaN,0,NaN,NaN,NaN,53,159,-1.71,NaN,NaN,0,NaN,NaN,NaN,53,159,-1.77,NaN,NaN,0,NaN,NaN,NaN,53,159,-1.68,149.75,154.25,4.5,1,0,NaN,53,159,-1.71,149.75,154.25,4.5,1,0,NaN,53,159,-1.77,149.75,154.25,4.5,1,0,NaN,NaN,0,1.5,NaN,NaN,NaN,NaN
53.5,160.5,-1.8,NaN,NaN,0,NaN,NaN,NaN,53.5,160.5,-1.68,NaN,NaN,0,NaN,NaN,NaN,53.5,160.5,-1.74,NaN,NaN,0,NaN,NaN,53.5,160.5,-1.74,NaN,NaN,0,NaN,NaN,NaN,53.5,160.5,-1.74,NaN,NaN,0,NaN,NaN,NaN,53.5,160.5,-1.8,NaN,NaN,0,NaN,NaN,NaN,53.5,160.5,-1.71,NaN,NaN,0,NaN,NaN,NaN,53.5,160.5,-1.74,NaN,NaN,0,NaN,NaN,NaN,53.5,160.5,-1.8,NaN,NaN,0,NaN,NaN,NaN,NaN,0,1.5,NaN,NaN,NaN,NaN
54,162,-1.83,149.75,154.21875,4.46875,0.9965217286,0,NaN,54,162,-1.71,149.78125,154.1875,4.40625,1,0,NaN,54,162,-1.77,149.75,154.25,4.5,1,NaN,54,162,-1.77,NaN,NaN,0,NaN,NaN,NaN,54,162,-1.77,NaN,NaN,0,NaN,NaN,NaN,54,162,-1.83,NaN,NaN,0,NaN,NaN,NaN,54,162,-1.74,149.75,154.25,4.5,1,0,NaN,54,162,-1.77,149.75,154.25,4.5,1,0,NaN,54,162,-1.83,149.75,154.25,4.5,1,0,NaN,NaN,0,1.5,NaN,NaN,NaN,NaN
54.5,163.5,-1.86,NaN,NaN,0,NaN,NaN,NaN,54.5,163.5,-1.74,NaN,NaN,0,NaN,NaN,NaN,54.5,163.5,-1.8,NaN,NaN,0,NaN,NaN,54.5,163.5,-1.8,NaN,NaN,0,NaN,NaN,NaN,54.5,163.5,-1.8,NaN,NaN,0,NaN,NaN,NaN,54.5,163.5,-1.86,NaN,NaN,0,NaN,NaN,NaN,54.5,163.5,-1.77,NaN,NaN,0,NaN,NaN,NaN,54.5,163.5,-1.8,NaN,NaN,0,NaN,NaN,NaN,54.5,163.5,-1.86,NaN,NaN,0,NaN,NaN,NaN,NaN,0,1.5,NaN,NaN,NaN,NaN
55,165,-1.89,149.75,154.21875,4.46875,0.9965217286,0,NaN,55,165,-1.77,149.78125,154.1875,4.40625,1,0,NaN,55,165,-1.83,149.75,154.25,4.5,1,NaN,55,165,-1.83,NaN,NaN,0,NaN,NaN,NaN,55,165,-1.83,NaN,NaN,0,NaN,NaN,NaN,55,165,-1.89,NaN,NaN,0,NaN,NaN,NaN,55,165,-1.8,149.75,154.25,4.5,1,0,NaN,55,165,-1.83,149.75,154.25,4.5,1,0,NaN,55,165,-1.89,149.75,154.25,4.5,1,0,NaN,NaN,0,1.5,NaN,NaN,NaN,NaN
55.5,166.5,-1.92,NaN,NaN,0,NaN,NaN,NaN,55.5,166.5,-1.8,NaN,NaN,0,NaN,NaN,NaN,55.5,166.5,-1.86,NaN,NaN,0,NaN,NaN,55.5,166.5,-1.86,NaN,NaN,0,NaN,NaN,NaN,55.5,166.5,-1.86,NaN,NaN,0,NaN,NaN,NaN,55.5,166.5,-1.92,NaN,NaN,0,NaN,NaN,NaN,55.5,166.5,-1.83,NaN,NaN,0,NaN,NaN,NaN,55.5,166.5,-1.86,NaN,NaN,0,NaN,NaN,NaN,55.5,166.5,-1.92,NaN,NaN,0,NaN,NaN,NaN,NaN,0,1.5,NaN,NaN,NaN,NaN
56,168,-1.95,149.75,154.21875,4.46875,0.9965217286,0,NaN,56,168,-1.83,149.78125,154.1875,4.40625,1,0,NaN,56,168,-1.89,149.75,154.25,4.5,1,NaN,56,168,-1.89,NaN,NaN,0,NaN,NaN,NaN,56,168,-1.89,NaN,NaN,0,NaN,NaN,NaN,56,168,-1.95,NaN,NaN,0,NaN,NaN,NaN,56,168,-1.86,149.75,154.25,4.5,1,0,NaN,56,168,-1.89,149.75,154.25,4.5,1,0,NaN,56,168,-1.95,149.75,154.25,4.5,1,0,NaN,NaN,0,1.5,NaN,NaN,NaN,NaN
56.5,169.5,-1.98,NaN,NaN,0,NaN,NaN,NaN,56.5,169.5,-1.86,NaN,NaN,0,NaN,NaN,NaN,56.5,169.5,-1.92,NaN,NaN,0,NaN,NaN,56.5,169.5,-1.92,NaN,NaN,0,NaN,NaN,NaN,56.5,169.5,-1.92,NaN,NaN,0,NaN,NaN,NaN,56.5,169.5,-1.98,NaN,NaN,0,NaN,NaN,NaN,56.5,169.5,-1.89,NaN,NaN,0,NaN,NaN,NaN,56.5,169.5,-1.92,NaN,NaN,0,NaN,NaN,NaN,56.5,169.5,-1.98,NaN,NaN,0,NaN,NaN,NaN,NaN,0,1.5,NaN,NaN,NaN,NaN
57,171,-2.01,149.75,154.25,4.5,1,0,NaN,57,171,-1.89,149.78125,154.1875,4.40625,1,0,NaN,57,171,-1.95,149.75,154.25,4.5,1,NaN,57,171,-1.95,NaN,NaN,0,NaN,NaN,NaN,57,171,-1.95,NaN,NaN,0,NaN,NaN,NaN,57,171,-2.01,NaN,NaN,0,NaN,NaN,NaN,57,171,-1.92,149.75,154.25,4.5,1,0,NaN,57,171,-1.95,149.75,154.25,4.5,1,0,NaN,57,171,-2.01,149.75,154.25,4.5,1,0,NaN,NaN,0,1.5,NaN,NaN,NaN,NaN
57.5,172.5,-2.04,NaN,NaN,0,NaN,NaN,NaN,57.5,172.5,-1.92,NaN,NaN,0,NaN,NaN,NaN,57.5,172.5,-1.98,NaN,NaN,0,NaN,NaN,57.5,172.5,-1.98,NaN,NaN,0,NaN,NaN,NaN,57.5,172.5,-1.98,NaN,NaN,0,NaN,NaN,NaN,57.5,172.5,-2.04,NaN,NaN,0,NaN,NaN,NaN,57.5,172.5,-1.95,NaN,NaN,0,NaN,NaN,NaN,57.5,172.5,-1.98,NaN,NaN,0,NaN,NaN,NaN,57.5,172.5,-2.04,NaN,NaN,0,NaN,NaN,NaN,NaN,0,1.5,NaN,NaN,NaN,NaN
58,174,-2.07,149.75,154.25,4.5,1,0,NaN,58,174,-1.95,149.78125,154.1875,4.40625,1,0,NaN,58,174,-2.01,149.75,154.25,4.5,1,NaN,58,174,-2.01,NaN,NaN,0,NaN,NaN,NaN,58,174,-2.01,NaN,NaN,0,NaN,NaN,NaN,58,174,-2.07,NaN,NaN,0,NaN,NaN,NaN,58,174,-1.98,149.75,154.25,4.5,1,0,NaN,58,174,-2.01,149.75,154.25,4.5,1,0,NaN,58,174,-2.07,149.75,154.25,4.5,1,0,NaN,NaN,0,1.5,NaN,NaN,NaN,NaN
58.5,175.5,-2.1,NaN,NaN,0,NaN,NaN,NaN,58.5,175.5,-1.98,NaN,NaN,0,NaN,NaN,NaN,58.5,175.5,-2.04,NaN,NaN,0,NaN,NaN,58.5,175.5,-2.04,NaN,NaN,0,NaN,NaN,NaN,58.5,175.5,-2.04,NaN,NaN,0,NaN,NaN,NaN,58.5,175.5,-2.1,NaN,NaN,0,NaN,NaN,NaN,58.5,175.5,-2.01,NaN,NaN,0,NaN,NaN,NaN,58.5,175.5,-2.04,NaN,NaN,0,NaN,NaN,NaN,58.5,175.5,-2.1,NaN,NaN,0,NaN,NaN,NaN,NaN,0,1.5,NaN,NaN,NaN,NaN
59,177,-2.13,149.75,154.25,4.5,1,0,NaN,59,177,-2.01,149.78125,154.1875,4.40625,1,0,NaN,59,177,-2.07,149.75,154.25,4.5,1,NaN,59,177,-2.07,NaN,NaN,0,NaN,NaN,NaN,59,177,-2.07,NaN,NaN,0,NaN,NaN,NaN,59,177,-2.13,NaN,NaN,0,NaN,NaN,NaN,59,177,-2.04,149.75,154.25,4.5,1,0,NaN,59,177,-2.07,149.75,154.25,4.5,1,0,NaN,59,177,-2.13,149.75,154.25,4.5,1,0,NaN,NaN,0,1.5,NaN,NaN,NaN,NaN
59.5,178.5,-2.16,NaN,NaN,0,NaN,NaN,NaN,59.5,178.5,-2.04,NaN,NaN,0,NaN,NaN,NaN,59.5,178.5,-2.1,NaN,NaN,0,NaN,NaN,59.5,178.5,-2.1,NaN,NaN,0,NaN,NaN,NaN,59.5,178.5,-2.1,NaN,NaN,0,NaN,NaN,NaN,59.5,178.5,-2.16,NaN,NaN,0,NaN,NaN,NaN,59.5,178.5,-2.07,NaN,NaN,0,NaN,NaN,NaN,59.5,178.5,-2.1,NaN,NaN,0,NaN,NaN,NaN,59.5,178.5,-2.16,NaN,NaN,0,NaN,NaN,NaN,NaN,0,1.5,NaN,NaN,NaN,NaN
60,180,-2.19,149.75,154.25,4.5,1,0,NaN,60,180,-2.07,149.78125,154.1875,4.40625,1,0,NaN,60,180,-2.13,149.75,154.25,4.5,1,NaN,60,180,-2.13,NaN,NaN,0,NaN,NaN,NaN,60,180,-2.13,NaN,NaN,0,NaN,NaN,NaN,60,180,-2.19,NaN,NaN,0,NaN,NaN,NaN,60,180,-2.1,149.75,154.25,4.5,1,0,NaN,60,180,-2.13,149.75,154.25,4.5,1,0,NaN,60,180,-2.19,149.75,154.25,4.5,1,0,NaN,NaN,0,1.5,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
