Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55,Var56,Var57,Var58,Var59,Var60,Var61,Var62,Var63,Var64,Var65,Var66,Var67,Var68,Var69,Var70,Var71,Var72,Var73,Var74,Var75,Var76,Var77,Var78,Var79,Var80,Var81,Var82,Var83,Var84,Var85,Var86,Var87,Var88,Var89,Var90,Var91,Var92,Var93,Var94,Var95,Var96,Var97,Var98,Var99,Var100,Var101,Var102,Var103,Var104,Var105,Var106,Var107,Var108,Var109,Var110,Var111,Var112,Var113,Var114,Var115,Var116
NaN,10.5,NaN,NaN,0.2087531051,NaN,NaN,0.98,NaN,NaN,15.5,NaN,NaN,0.2176074875,NaN,NaN,0.98,NaN,NaN,15.4,NaN,NaN,0.2160728467,NaN,NaN,0.98,NaN,NaN,20.5,NaN,NaN,0.2069242467,NaN,NaN,0.98,NaN,NaN,15.5,NaN,"Isobaric thrust (sum of half circles = 0.5 * sum of circles)",0.2041389792,NaN,NaN,0.98,NaN,NaN,20.5,NaN,"Isobaric thrust (sum of half circles = 0.5 * sum of circles)",0.2068349127,NaN,NaN,0.98,NaN,NaN,25.5,NaN,"Isobaric thrust (sum of half circles = 0.5 * sum of circles)",0.1994006393,NaN,NaN,0.98,NaN,NaN,30.5,NaN,"Isobaric thrust (sum of half circles = 0.5 * sum of circles)",0.20064406,NaN,NaN,0.98,NaN,NaN,35.5,NaN,"Isobaric thrust (sum of half circles = 0.5 * sum of circles)",0.1826379884,NaN,NaN,0.98,NaN,NaN,40.5,NaN,"Isobaric thrust (sum of half circles = 0.5 * sum of circles)",0.1742024063,NaN,NaN,0.98,NaN,NaN,45.5,NaN,"Isobaric thrust (sum of half circles = 0.5 * sum of circles)",0.171994985,NaN,NaN,0.98,NaN,NaN,20.5,NaN,"Isobaric thrust (sum of half circles = 0.5 * sum of circles)",0.2068349127,NaN,NaN,0.98,NaN,NaN,15.5,NaN,"Isobaric thrust (sum of half circles = 0.5 * sum of circles)",0.2041389792,NaN,NaN,0.98
NaN,10.0725,NaN,NaN,0.632839782,NaN,NaN,NaN,NaN,NaN,15.0725,NaN,NaN,0.6596820436,NaN,NaN,NaN,NaN,NaN,14.9725,NaN,NaN,0.655029745,NaN,NaN,NaN,NaN,NaN,20.0725,NaN,NaN,0.6272955563,NaN,NaN,NaN,NaN,NaN,15.0725,NaN,"Thrust coefficient",0.6188519547,NaN,NaN,NaN,NaN,NaN,20.0725,NaN,"Thrust coefficient",0.6270247384,NaN,NaN,NaN,NaN,NaN,25.0725,NaN,"Thrust coefficient",0.6044875695,NaN,NaN,NaN,NaN,NaN,30.0725,NaN,"Thrust coefficient",0.6082570277,NaN,NaN,NaN,NaN,NaN,35.0725,NaN,"Thrust coefficient",0.5536712125,NaN,NaN,NaN,NaN,NaN,40.0725,NaN,"Thrust coefficient",0.5280985537,NaN,NaN,NaN,NaN,NaN,45.0725,NaN,"Thrust coefficient",0.5214067056,NaN,NaN,NaN,NaN,NaN,20.0725,NaN,"Thrust coefficient",0.6270247384,NaN,NaN,NaN,NaN,NaN,15.0725,NaN,"Thrust coefficient",0.6188519547,NaN,NaN,NaN
NaN,2.0145,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.0145,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.9945,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.0145,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.0145,NaN,"",NaN,NaN,NaN,NaN,NaN,NaN,4.0145,NaN,"",NaN,NaN,NaN,NaN,NaN,NaN,5.0145,NaN,"",NaN,NaN,NaN,NaN,NaN,NaN,6.0145,NaN,"",NaN,NaN,NaN,NaN,NaN,NaN,7.0145,NaN,"",NaN,NaN,NaN,NaN,NaN,NaN,8.0145,NaN,"",NaN,NaN,NaN,NaN,NaN,NaN,9.0145,NaN,"",NaN,NaN,NaN,NaN,NaN,NaN,4.0145,NaN,"",NaN,NaN,NaN,NaN,NaN,NaN,3.0145,NaN,"",NaN,NaN,NaN,NaN
NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.5,NaN,"",NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,"",NaN,NaN,NaN,NaN,NaN,NaN,85.5,NaN,"",NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,"",NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,"",NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,"",NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,"",NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,"",NaN,NaN,NaN,NaN,NaN,NaN,85.5,NaN,"",NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"[unused]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"[unused]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"[unused]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"[unused]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"[unused]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"[unused]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"[unused]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"[unused]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"[unused]",NaN,NaN,NaN,NaN
-15,-45,2.58,NaN,NaN,0,NaN,NaN,NaN,-15,-45,2.67,150.78125,155.21875,4.4375,0.9964973623,0,NaN,-15,-45,2.58,150.75,155.25,4.5,1,0,NaN,-15,-45,2.61,150.75,155.21875,4.46875,1.007067226,0,NaN,-15,-45,2.61,"",24,4.4375,1.007117528,0,NaN,-15,-45,2.58,"",24,4.375,1,0,NaN,-15,-45,2.61,"",NaN,NaN,NaN,NaN,NaN,-15,-45,2.64,"",NaN,NaN,NaN,NaN,NaN,-15,-45,2.64,"",NaN,NaN,NaN,NaN,NaN,-15,-45,2.64,"",24,4.375,1,0,NaN,-15,-45,2.58,"",NaN,NaN,NaN,NaN,NaN,-15,-45,2.58,"",24,4.375,1,0,NaN,-15,-45,2.61,"",24,4.4375,1.007117528,0
-14.5,-43.5,2.55,NaN,NaN,0,NaN,NaN,NaN,-14.5,-43.5,2.64,NaN,NaN,0,NaN,NaN,NaN,-14.5,-43.5,2.55,NaN,NaN,0,NaN,NaN,NaN,-14.5,-43.5,2.58,NaN,NaN,0,NaN,NaN,NaN,-14.5,-43.5,2.58,"",NaN,NaN,NaN,NaN,NaN,-14.5,-43.5,2.55,"",NaN,NaN,NaN,NaN,NaN,-14.5,-43.5,2.58,"",NaN,NaN,NaN,NaN,NaN,-14.5,-43.5,2.61,"",NaN,NaN,NaN,NaN,NaN,-14.5,-43.5,2.61,"",NaN,NaN,NaN,NaN,NaN,-14.5,-43.5,2.61,"",NaN,NaN,NaN,NaN,NaN,-14.5,-43.5,2.55,"",NaN,NaN,NaN,NaN,NaN,-14.5,-43.5,2.55,"",NaN,NaN,NaN,NaN,NaN,-14.5,-43.5,2.58,"",NaN,NaN,NaN,NaN
-14,-42,2.52,150.71875,155.21875,4.5,1,0,NaN,-14,-42,2.61,150.78125,155.21875,4.4375,0.9964973623,0,NaN,-14,-42,2.52,NaN,NaN,0,NaN,NaN,NaN,-14,-42,2.55,150.75,155.21875,4.46875,1.007067226,0,NaN,-14,-42,2.55,"",NaN,NaN,NaN,NaN,NaN,-14,-42,2.52,"",NaN,NaN,NaN,NaN,NaN,-14,-42,2.55,"",NaN,NaN,NaN,NaN,NaN,-14,-42,2.58,"",NaN,NaN,NaN,NaN,NaN,-14,-42,2.58,"",NaN,NaN,NaN,NaN,NaN,-14,-42,2.58,"",24,4.375,1,0,NaN,-14,-42,2.52,"",NaN,NaN,NaN,NaN,NaN,-14,-42,2.52,"",NaN,NaN,NaN,NaN,NaN,-14,-42,2.55,"",NaN,NaN,NaN,NaN
-13.5,-40.5,2.49,NaN,NaN,0,NaN,NaN,NaN,-13.5,-40.5,2.58,NaN,NaN,0,NaN,NaN,NaN,-13.5,-40.5,2.49,NaN,NaN,0,NaN,NaN,NaN,-13.5,-40.5,2.52,NaN,NaN,0,NaN,NaN,NaN,-13.5,-40.5,2.52,"",NaN,NaN,NaN,NaN,NaN,-13.5,-40.5,2.49,"",NaN,NaN,NaN,NaN,NaN,-13.5,-40.5,2.52,"",NaN,NaN,NaN,NaN,NaN,-13.5,-40.5,2.55,"",NaN,NaN,NaN,NaN,NaN,-13.5,-40.5,2.55,"",NaN,NaN,NaN,NaN,NaN,-13.5,-40.5,2.55,"",NaN,NaN,NaN,NaN,NaN,-13.5,-40.5,2.49,"",NaN,NaN,NaN,NaN,NaN,-13.5,-40.5,2.49,"",NaN,NaN,NaN,NaN,NaN,-13.5,-40.5,2.52,"",NaN,NaN,NaN,NaN
-13,-39,2.46,NaN,NaN,0,NaN,NaN,NaN,-13,-39,2.55,NaN,NaN,0,NaN,NaN,NaN,-13,-39,2.46,150.75,155.25,4.5,1,0,NaN,-13,-39,2.49,NaN,NaN,0,NaN,NaN,NaN,-13,-39,2.49,"",24,4.4375,1.007117528,0,NaN,-13,-39,2.46,"",24,4.375,1,0,NaN,-13,-39,2.49,"",NaN,NaN,NaN,NaN,NaN,-13,-39,2.52,"",NaN,NaN,NaN,NaN,NaN,-13,-39,2.52,"",NaN,NaN,NaN,NaN,NaN,-13,-39,2.52,"",23,4.4375,1.007117528,0,NaN,-13,-39,2.46,"",NaN,NaN,NaN,NaN,NaN,-13,-39,2.46,"",24,4.375,1,0,NaN,-13,-39,2.49,"",24,4.4375,1.007117528,0
-12.5,-37.5,2.43,NaN,NaN,0,NaN,NaN,NaN,-12.5,-37.5,2.52,NaN,NaN,0,NaN,NaN,NaN,-12.5,-37.5,2.43,NaN,NaN,0,NaN,NaN,NaN,-12.5,-37.5,2.46,NaN,NaN,0,NaN,NaN,NaN,-12.5,-37.5,2.46,"",NaN,NaN,NaN,NaN,NaN,-12.5,-37.5,2.43,"",NaN,NaN,NaN,NaN,NaN,-12.5,-37.5,2.46,"",NaN,NaN,NaN,NaN,NaN,-12.5,-37.5,2.49,"",NaN,NaN,NaN,NaN,NaN,-12.5,-37.5,2.49,"",NaN,NaN,NaN,NaN,NaN,-12.5,-37.5,2.49,"",NaN,NaN,NaN,NaN,NaN,-12.5,-37.5,2.43,"",NaN,NaN,NaN,NaN,NaN,-12.5,-37.5,2.43,"",NaN,NaN,NaN,NaN,NaN,-12.5,-37.5,2.46,"",NaN,NaN,NaN,NaN
