Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55,Var56,Var57,Var58,Var59,Var60,Var61,Var62,Var63,Var64,Var65,Var66,Var67,Var68,Var69,Var70,Var71,Var72,Var73,Var74,Var75,Var76,Var77,Var78,Var79,Var80,Var81,Var82,Var83,Var84,Var85,Var86,Var87,Var88,Var89,Var90,Var91,Var92,Var93,Var94,Var95,Var96,Var97,Var98,Var99,Var100,Var101,Var102,Var103,Var104,Var105,Var106,Var107,Var108,Var109,Var110,Var111,Var112,Var113,Var114,Var115,Var116
-12,-36,2.4,150.71875,155.21875,4.5,1,0,NaN,-12,-36,2.49,150.78125,155.21875,4.4375,0.9964973623,0,NaN,-12,-36,2.4,NaN,NaN,0,NaN,NaN,NaN,-12,-36,2.43,150.75,155.21875,4.46875,1.007067226,0,NaN,-12,-36,2.43,"",NaN,NaN,NaN,NaN,NaN,-12,-36,2.4,"",NaN,NaN,NaN,NaN,NaN,-12,-36,2.43,"",NaN,NaN,NaN,NaN,NaN,-12,-36,2.46,"",NaN,NaN,NaN,NaN,NaN,-12,-36,2.46,"",NaN,NaN,NaN,NaN,NaN,-12,-36,2.46,"",23,4.4375,1.007117528,0,NaN,-12,-36,2.4,"",NaN,NaN,NaN,NaN,NaN,-12,-36,2.4,"",NaN,NaN,NaN,NaN,NaN,-12,-36,2.43,"",NaN,NaN,NaN,NaN
-11.5,-34.5,2.37,NaN,NaN,0,NaN,NaN,NaN,-11.5,-34.5,2.46,NaN,NaN,0,NaN,NaN,NaN,-11.5,-34.5,2.37,NaN,NaN,0,NaN,NaN,NaN,-11.5,-34.5,2.4,NaN,NaN,0,NaN,NaN,NaN,-11.5,-34.5,2.4,"",NaN,NaN,NaN,NaN,NaN,-11.5,-34.5,2.37,"",NaN,NaN,NaN,NaN,NaN,-11.5,-34.5,2.4,"",NaN,NaN,NaN,NaN,NaN,-11.5,-34.5,2.43,"",NaN,NaN,NaN,NaN,NaN,-11.5,-34.5,2.43,"",NaN,NaN,NaN,NaN,NaN,-11.5,-34.5,2.43,"",NaN,NaN,NaN,NaN,NaN,-11.5,-34.5,2.37,"",NaN,NaN,NaN,NaN,NaN,-11.5,-34.5,2.37,"",NaN,NaN,NaN,NaN,NaN,-11.5,-34.5,2.4,"",NaN,NaN,NaN,NaN
-11,-33,2.34,NaN,NaN,0,NaN,NaN,NaN,-11,-33,2.43,NaN,NaN,0,NaN,NaN,NaN,-11,-33,2.34,150.75,155.25,4.5,1,0,NaN,-11,-33,2.37,NaN,NaN,0,NaN,NaN,NaN,-11,-33,2.37,"",24,4.4375,1.007117528,0,NaN,-11,-33,2.34,"",24,4.375,1,0,NaN,-11,-33,2.37,"",24,4.4375,1.007117528,0,NaN,-11,-33,2.4,"",23,4.4375,1,0,NaN,-11,-33,2.4,"",23,4.4375,1,0,NaN,-11,-33,2.4,"",NaN,NaN,NaN,NaN,NaN,-11,-33,2.34,"",NaN,NaN,NaN,NaN,NaN,-11,-33,2.34,"",24,4.375,1,0,NaN,-11,-33,2.37,"",24,4.4375,1.007117528,0
-10.5,-31.5,2.31,NaN,NaN,0,NaN,NaN,NaN,-10.5,-31.5,2.4,NaN,NaN,0,NaN,NaN,NaN,-10.5,-31.5,2.31,NaN,NaN,0,NaN,NaN,NaN,-10.5,-31.5,2.34,NaN,NaN,0,NaN,NaN,NaN,-10.5,-31.5,2.34,"",NaN,NaN,NaN,NaN,NaN,-10.5,-31.5,2.31,"",NaN,NaN,NaN,NaN,NaN,-10.5,-31.5,2.34,"",NaN,NaN,NaN,NaN,NaN,-10.5,-31.5,2.37,"",NaN,NaN,NaN,NaN,NaN,-10.5,-31.5,2.37,"",NaN,NaN,NaN,NaN,NaN,-10.5,-31.5,2.37,"",NaN,NaN,NaN,NaN,NaN,-10.5,-31.5,2.31,"",NaN,NaN,NaN,NaN,NaN,-10.5,-31.5,2.31,"",NaN,NaN,NaN,NaN,NaN,-10.5,-31.5,2.34,"",NaN,NaN,NaN,NaN
-10,-30,2.28,150.71875,155.21875,4.5,1,0,NaN,-10,-30,2.37,150.78125,155.21875,4.4375,0.9964973623,0,NaN,-10,-30,2.28,NaN,NaN,0,NaN,NaN,NaN,-10,-30,2.31,150.75,155.21875,4.46875,1.007067226,0,NaN,-10,-30,2.31,"",NaN,NaN,NaN,NaN,NaN,-10,-30,2.28,"",NaN,NaN,NaN,NaN,NaN,-10,-30,2.31,"",NaN,NaN,NaN,NaN,NaN,-10,-30,2.34,"",NaN,NaN,NaN,NaN,NaN,-10,-30,2.34,"",NaN,NaN,NaN,NaN,NaN,-10,-30,2.34,"",23,4.4375,1.007117528,0,NaN,-10,-30,2.28,"",NaN,NaN,NaN,NaN,NaN,-10,-30,2.28,"",NaN,NaN,NaN,NaN,NaN,-10,-30,2.31,"",NaN,NaN,NaN,NaN
-9.5,-28.5,2.25,NaN,NaN,0,NaN,NaN,NaN,-9.5,-28.5,2.34,NaN,NaN,0,NaN,NaN,NaN,-9.5,-28.5,2.25,NaN,NaN,0,NaN,NaN,NaN,-9.5,-28.5,2.28,NaN,NaN,0,NaN,NaN,NaN,-9.5,-28.5,2.28,"",NaN,NaN,NaN,NaN,NaN,-9.5,-28.5,2.25,"",NaN,NaN,NaN,NaN,NaN,-9.5,-28.5,2.28,"",NaN,NaN,NaN,NaN,NaN,-9.5,-28.5,2.31,"",NaN,NaN,NaN,NaN,NaN,-9.5,-28.5,2.31,"",NaN,NaN,NaN,NaN,NaN,-9.5,-28.5,2.31,"",NaN,NaN,NaN,NaN,NaN,-9.5,-28.5,2.25,"",NaN,NaN,NaN,NaN,NaN,-9.5,-28.5,2.25,"",NaN,NaN,NaN,NaN,NaN,-9.5,-28.5,2.28,"",NaN,NaN,NaN,NaN
-9,-27,2.22,NaN,NaN,0,NaN,NaN,NaN,-9,-27,2.31,NaN,NaN,0,NaN,NaN,NaN,-9,-27,2.22,150.75,155.21875,4.46875,0.9965217286,0,NaN,-9,-27,2.25,NaN,NaN,0,NaN,NaN,NaN,-9,-27,2.25,"",24,4.4375,1.007117528,0,NaN,-9,-27,2.22,"",24,4.375,1,0,NaN,-9,-27,2.25,"",25,4.375,1,0,NaN,-9,-27,2.28,"",23,4.4375,1,0,NaN,-9,-27,2.28,"",23,4.4375,1,0,NaN,-9,-27,2.28,"",NaN,NaN,NaN,NaN,NaN,-9,-27,2.22,"",NaN,NaN,NaN,NaN,NaN,-9,-27,2.22,"",24,4.375,1,0,NaN,-9,-27,2.25,"",24,4.4375,1.007117528,0
-8.5,-25.5,2.19,NaN,NaN,0,NaN,NaN,NaN,-8.5,-25.5,2.28,NaN,NaN,0,NaN,NaN,NaN,-8.5,-25.5,2.19,NaN,NaN,0,NaN,NaN,NaN,-8.5,-25.5,2.22,NaN,NaN,0,NaN,NaN,NaN,-8.5,-25.5,2.22,"",NaN,NaN,NaN,NaN,NaN,-8.5,-25.5,2.19,"",NaN,NaN,NaN,NaN,NaN,-8.5,-25.5,2.22,"",NaN,NaN,NaN,NaN,NaN,-8.5,-25.5,2.25,"",NaN,NaN,NaN,NaN,NaN,-8.5,-25.5,2.25,"",NaN,NaN,NaN,NaN,NaN,-8.5,-25.5,2.25,"",NaN,NaN,NaN,NaN,NaN,-8.5,-25.5,2.19,"",NaN,NaN,NaN,NaN,NaN,-8.5,-25.5,2.19,"",NaN,NaN,NaN,NaN,NaN,-8.5,-25.5,2.22,"",NaN,NaN,NaN,NaN
-8,-24,2.16,150.75,155.21875,4.46875,0.9965217286,0,NaN,-8,-24,2.25,150.78125,155.21875,4.4375,0.9964973623,0,NaN,-8,-24,2.16,NaN,NaN,0,NaN,NaN,NaN,-8,-24,2.19,150.78125,155.21875,4.4375,1.003539834,0,NaN,-8,-24,2.19,"",NaN,NaN,NaN,NaN,NaN,-8,-24,2.16,"",NaN,NaN,NaN,NaN,NaN,-8,-24,2.19,"",NaN,NaN,NaN,NaN,NaN,-8,-24,2.22,"",NaN,NaN,NaN,NaN,NaN,-8,-24,2.22,"",NaN,NaN,NaN,NaN,NaN,-8,-24,2.22,"",23,4.4375,1.007117528,0,NaN,-8,-24,2.16,"",NaN,NaN,NaN,NaN,NaN,-8,-24,2.16,"",NaN,NaN,NaN,NaN,NaN,-8,-24,2.19,"",NaN,NaN,NaN,NaN
-7.5,-22.5,2.13,NaN,NaN,0,NaN,NaN,NaN,-7.5,-22.5,2.22,NaN,NaN,0,NaN,NaN,NaN,-7.5,-22.5,2.13,NaN,NaN,0,NaN,NaN,NaN,-7.5,-22.5,2.16,NaN,NaN,0,NaN,NaN,NaN,-7.5,-22.5,2.16,"",NaN,NaN,NaN,NaN,NaN,-7.5,-22.5,2.13,"",NaN,NaN,NaN,NaN,NaN,-7.5,-22.5,2.16,"",NaN,NaN,NaN,NaN,NaN,-7.5,-22.5,2.19,"",NaN,NaN,NaN,NaN,NaN,-7.5,-22.5,2.19,"",NaN,NaN,NaN,NaN,NaN,-7.5,-22.5,2.19,"",NaN,NaN,NaN,NaN,NaN,-7.5,-22.5,2.13,"",NaN,NaN,NaN,NaN,NaN,-7.5,-22.5,2.13,"",NaN,NaN,NaN,NaN,NaN,-7.5,-22.5,2.16,"",NaN,NaN,NaN,NaN
-7,-21,2.1,NaN,NaN,0,NaN,NaN,NaN,-7,-21,2.19,NaN,NaN,0,NaN,NaN,NaN,-7,-21,2.1,150.75,155.21875,4.46875,0.9965217286,0,NaN,-7,-21,2.13,NaN,NaN,0,NaN,NaN,NaN,-7,-21,2.13,"",25,4.375,1,0,NaN,-7,-21,2.1,"",24,4.375,1,0,NaN,-7,-21,2.13,"",25,4.375,1,0,NaN,-7,-21,2.16,"",23,4.4375,1,0,NaN,-7,-21,2.16,"",23,4.4375,1,0,NaN,-7,-21,2.16,"",NaN,NaN,NaN,NaN,NaN,-7,-21,2.1,"",NaN,NaN,NaN,NaN,NaN,-7,-21,2.1,"",24,4.375,1,0,NaN,-7,-21,2.13,"",25,4.375,1,0
-6.5,-19.5,2.07,NaN,NaN,0,NaN,NaN,NaN,-6.5,-19.5,2.16,NaN,NaN,0,NaN,NaN,NaN,-6.5,-19.5,2.07,NaN,NaN,0,NaN,NaN,NaN,-6.5,-19.5,2.1,NaN,NaN,0,NaN,NaN,NaN,-6.5,-19.5,2.1,"",NaN,NaN,NaN,NaN,NaN,-6.5,-19.5,2.07,"",NaN,NaN,NaN,NaN,NaN,-6.5,-19.5,2.1,"",NaN,NaN,NaN,NaN,NaN,-6.5,-19.5,2.13,"",NaN,NaN,NaN,NaN,NaN,-6.5,-19.5,2.13,"",NaN,NaN,NaN,NaN,NaN,-6.5,-19.5,2.13,"",NaN,NaN,NaN,NaN,NaN,-6.5,-19.5,2.07,"",NaN,NaN,NaN,NaN,NaN,-6.5,-19.5,2.07,"",NaN,NaN,NaN,NaN,NaN,-6.5,-19.5,2.1,"",NaN,NaN,NaN,NaN
-6,-18,2.04,150.75,155.21875,4.46875,0.9965217286,0,NaN,-6,-18,2.13,150.78125,155.21875,4.4375,0.9964973623,0,NaN,-6,-18,2.04,NaN,NaN,0,NaN,NaN,NaN,-6,-18,2.07,150.78125,155.1875,4.40625,1,0,NaN,-6,-18,2.07,"",NaN,NaN,NaN,NaN,NaN,-6,-18,2.04,"",NaN,NaN,NaN,NaN,NaN,-6,-18,2.07,"",NaN,NaN,NaN,NaN,NaN,-6,-18,2.1,"",NaN,NaN,NaN,NaN,NaN,-6,-18,2.1,"",NaN,NaN,NaN,NaN,NaN,-6,-18,2.1,"",23,4.4375,1.007117528,0,NaN,-6,-18,2.04,"",NaN,NaN,NaN,NaN,NaN,-6,-18,2.04,"",NaN,NaN,NaN,NaN,NaN,-6,-18,2.07,"",NaN,NaN,NaN,NaN
-5.5,-16.5,2.01,NaN,NaN,0,NaN,NaN,NaN,-5.5,-16.5,2.1,NaN,NaN,0,NaN,NaN,NaN,-5.5,-16.5,2.01,NaN,NaN,0,NaN,NaN,NaN,-5.5,-16.5,2.04,NaN,NaN,0,NaN,NaN,NaN,-5.5,-16.5,2.04,"",NaN,NaN,NaN,NaN,NaN,-5.5,-16.5,2.01,"",NaN,NaN,NaN,NaN,NaN,-5.5,-16.5,2.04,"",NaN,NaN,NaN,NaN,NaN,-5.5,-16.5,2.07,"",NaN,NaN,NaN,NaN,NaN,-5.5,-16.5,2.07,"",NaN,NaN,NaN,NaN,NaN,-5.5,-16.5,2.07,"",NaN,NaN,NaN,NaN,NaN,-5.5,-16.5,2.01,"",NaN,NaN,NaN,NaN,NaN,-5.5,-16.5,2.01,"",NaN,NaN,NaN,NaN,NaN,-5.5,-16.5,2.04,"",NaN,NaN,NaN,NaN
-5,-15,1.98,NaN,NaN,0,NaN,NaN,NaN,-5,-15,2.07,NaN,NaN,0,NaN,NaN,NaN,-5,-15,1.98,150.75,155.21875,4.46875,0.9965217286,0,NaN,-5,-15,2.01,NaN,NaN,0,NaN,NaN,NaN,-5,-15,2.01,"",25,4.375,1,0,NaN,-5,-15,1.98,"",24,4.375,1,0,NaN,-5,-15,2.01,"",25,4.375,1,0,NaN,-5,-15,2.04,"",23,4.4375,1,0,NaN,-5,-15,2.04,"",23,4.4375,1,0,NaN,-5,-15,2.04,"",NaN,NaN,NaN,NaN,NaN,-5,-15,1.98,"",NaN,NaN,NaN,NaN,NaN,-5,-15,1.98,"",24,4.375,1,0,NaN,-5,-15,2.01,"",25,4.375,1,0
-4.5,-13.5,1.95,NaN,NaN,0,NaN,NaN,NaN,-4.5,-13.5,2.04,NaN,NaN,0,NaN,NaN,NaN,-4.5,-13.5,1.95,NaN,NaN,0,NaN,NaN,NaN,-4.5,-13.5,1.98,NaN,NaN,0,NaN,NaN,NaN,-4.5,-13.5,1.98,"",NaN,NaN,NaN,NaN,NaN,-4.5,-13.5,1.95,"",NaN,NaN,NaN,NaN,NaN,-4.5,-13.5,1.98,"",NaN,NaN,NaN,NaN,NaN,-4.5,-13.5,2.01,"",NaN,NaN,NaN,NaN,NaN,-4.5,-13.5,2.01,"",NaN,NaN,NaN,NaN,NaN,-4.5,-13.5,2.01,"",NaN,NaN,NaN,NaN,NaN,-4.5,-13.5,1.95,"",NaN,NaN,NaN,NaN,NaN,-4.5,-13.5,1.95,"",NaN,NaN,NaN,NaN,NaN,-4.5,-13.5,1.98,"",NaN,NaN,NaN,NaN
-4,-12,1.92,150.75,155.21875,4.46875,0.9965217286,0,NaN,-4,-12,2.01,150.8125,155.21875,4.40625,0.9929823694,0,NaN,-4,-12,1.92,NaN,NaN,0,NaN,NaN,NaN,-4,-12,1.95,150.78125,155.1875,4.40625,1,0,NaN,-4,-12,1.95,"",NaN,NaN,NaN,NaN,NaN,-4,-12,1.92,"",NaN,NaN,NaN,NaN,NaN,-4,-12,1.95,"",NaN,NaN,NaN,NaN,NaN,-4,-12,1.98,"",NaN,NaN,NaN,NaN,NaN,-4,-12,1.98,"",NaN,NaN,NaN,NaN,NaN,-4,-12,1.98,"",23,4.4375,1.007117528,0,NaN,-4,-12,1.92,"",NaN,NaN,NaN,NaN,NaN,-4,-12,1.92,"",NaN,NaN,NaN,NaN,NaN,-4,-12,1.95,"",NaN,NaN,NaN,NaN
-3.5,-10.5,1.89,NaN,NaN,0,NaN,NaN,NaN,-3.5,-10.5,1.98,NaN,NaN,0,NaN,NaN,NaN,-3.5,-10.5,1.89,NaN,NaN,0,NaN,NaN,NaN,-3.5,-10.5,1.92,NaN,NaN,0,NaN,NaN,NaN,-3.5,-10.5,1.92,"",NaN,NaN,NaN,NaN,NaN,-3.5,-10.5,1.89,"",NaN,NaN,NaN,NaN,NaN,-3.5,-10.5,1.92,"",NaN,NaN,NaN,NaN,NaN,-3.5,-10.5,1.95,"",NaN,NaN,NaN,NaN,NaN,-3.5,-10.5,1.95,"",NaN,NaN,NaN,NaN,NaN,-3.5,-10.5,1.95,"",NaN,NaN,NaN,NaN,NaN,-3.5,-10.5,1.89,"",NaN,NaN,NaN,NaN,NaN,-3.5,-10.5,1.89,"",NaN,NaN,NaN,NaN,NaN,-3.5,-10.5,1.92,"",NaN,NaN,NaN,NaN
-3,-9,1.86,NaN,NaN,0,NaN,NaN,NaN,-3,-9,1.95,NaN,NaN,0,NaN,NaN,NaN,-3,-9,1.86,150.75,155.21875,4.46875,0.9965217286,0,NaN,-3,-9,1.89,NaN,NaN,0,NaN,NaN,NaN,-3,-9,1.89,"",25,4.375,1,0,NaN,-3,-9,1.86,"",25,4.3125,0.9928314488,0,NaN,-3,-9,1.89,"",25,4.375,1,0,NaN,-3,-9,1.92,"",24,4.375,0.9929327736,0,NaN,-3,-9,1.92,"",23,4.4375,1,0,NaN,-3,-9,1.92,"",NaN,NaN,NaN,NaN,NaN,-3,-9,1.86,"",NaN,NaN,NaN,NaN,NaN,-3,-9,1.86,"",25,4.3125,0.9928314488,0,NaN,-3,-9,1.89,"",25,4.375,1,0
-2.5,-7.5,1.83,NaN,NaN,0,NaN,NaN,NaN,-2.5,-7.5,1.92,NaN,NaN,0,NaN,NaN,NaN,-2.5,-7.5,1.83,NaN,NaN,0,NaN,NaN,NaN,-2.5,-7.5,1.86,NaN,NaN,0,NaN,NaN,NaN,-2.5,-7.5,1.86,"",NaN,NaN,NaN,NaN,NaN,-2.5,-7.5,1.83,"",NaN,NaN,NaN,NaN,NaN,-2.5,-7.5,1.86,"",NaN,NaN,NaN,NaN,NaN,-2.5,-7.5,1.89,"",NaN,NaN,NaN,NaN,NaN,-2.5,-7.5,1.89,"",NaN,NaN,NaN,NaN,NaN,-2.5,-7.5,1.89,"",NaN,NaN,NaN,NaN,NaN,-2.5,-7.5,1.83,"",NaN,NaN,NaN,NaN,NaN,-2.5,-7.5,1.83,"",NaN,NaN,NaN,NaN,NaN,-2.5,-7.5,1.86,"",NaN,NaN,NaN,NaN
-2,-6,1.8,150.75,155.21875,4.46875,0.9965217286,0,NaN,-2,-6,1.89,150.8125,155.21875,4.40625,0.9929823694,0,NaN,-2,-6,1.8,150.75,155.21875,4.46875,0.9965217286,0,NaN,-2,-6,1.83,150.78125,155.1875,4.40625,1,0,NaN,-2,-6,1.83,"",NaN,NaN,NaN,NaN,NaN,-2,-6,1.8,"",NaN,NaN,NaN,NaN,NaN,-2,-6,1.83,"",NaN,NaN,NaN,NaN,NaN,-2,-6,1.86,"",NaN,NaN,NaN,NaN,NaN,-2,-6,1.86,"",NaN,NaN,NaN,NaN,NaN,-2,-6,1.86,"",24,4.375,1,0,NaN,-2,-6,1.8,"",NaN,NaN,NaN,NaN,NaN,-2,-6,1.8,"",NaN,NaN,NaN,NaN,NaN,-2,-6,1.83,"",NaN,NaN,NaN,NaN
-1.5,-4.5,1.77,NaN,NaN,0,NaN,NaN,NaN,-1.5,-4.5,1.86,NaN,NaN,0,NaN,NaN,NaN,-1.5,-4.5,1.77,NaN,NaN,0,NaN,NaN,NaN,-1.5,-4.5,1.8,NaN,NaN,0,NaN,NaN,NaN,-1.5,-4.5,1.8,"",NaN,NaN,NaN,NaN,NaN,-1.5,-4.5,1.77,"",NaN,NaN,NaN,NaN,NaN,-1.5,-4.5,1.8,"",NaN,NaN,NaN,NaN,NaN,-1.5,-4.5,1.83,"",NaN,NaN,NaN,NaN,NaN,-1.5,-4.5,1.83,"",NaN,NaN,NaN,NaN,NaN,-1.5,-4.5,1.83,"",NaN,NaN,NaN,NaN,NaN,-1.5,-4.5,1.77,"",NaN,NaN,NaN,NaN,NaN,-1.5,-4.5,1.77,"",NaN,NaN,NaN,NaN,NaN,-1.5,-4.5,1.8,"",NaN,NaN,NaN,NaN
-1,-3,1.74,NaN,NaN,0,NaN,NaN,NaN,-1,-3,1.83,NaN,NaN,0,NaN,NaN,NaN,-1,-3,1.74,150.75,155.21875,4.46875,0.9965217286,0,NaN,-1,-3,1.77,NaN,NaN,0,NaN,NaN,NaN,-1,-3,1.77,"",25,4.375,1,0,NaN,-1,-3,1.74,"",25,4.3125,0.9928314488,0,NaN,-1,-3,1.77,"",25,4.375,1,0,NaN,-1,-3,1.8,"",24,4.375,0.9929327736,0,NaN,-1,-3,1.8,"",24,4.375,0.9929327736,0,NaN,-1,-3,1.8,"",NaN,NaN,NaN,NaN,NaN,-1,-3,1.74,"",NaN,NaN,NaN,NaN,NaN,-1,-3,1.74,"",25,4.3125,0.9928314488,0,NaN,-1,-3,1.77,"",25,4.375,1,0
-0.5,-1.5,1.71,NaN,NaN,0,NaN,NaN,NaN,-0.5,-1.5,1.8,NaN,NaN,0,NaN,NaN,NaN,-0.5,-1.5,1.71,NaN,NaN,0,NaN,NaN,NaN,-0.5,-1.5,1.74,NaN,NaN,0,NaN,NaN,NaN,-0.5,-1.5,1.74,"",NaN,NaN,NaN,NaN,NaN,-0.5,-1.5,1.71,"",NaN,NaN,NaN,NaN,NaN,-0.5,-1.5,1.74,"",NaN,NaN,NaN,NaN,NaN,-0.5,-1.5,1.77,"",NaN,NaN,NaN,NaN,NaN,-0.5,-1.5,1.77,"",NaN,NaN,NaN,NaN,NaN,-0.5,-1.5,1.77,"",NaN,NaN,NaN,NaN,NaN,-0.5,-1.5,1.71,"",NaN,NaN,NaN,NaN,NaN,-0.5,-1.5,1.71,"",NaN,NaN,NaN,NaN,NaN,-0.5,-1.5,1.74,"",NaN,NaN,NaN,NaN
0,0,1.68,150.75,155.21875,4.46875,0.9965217286,0,NaN,0,0,1.77,150.8125,155.1875,4.375,0.9894548898,0,NaN,0,0,1.68,150.75,155.21875,4.46875,0.9965217286,0,NaN,0,0,1.71,150.78125,155.1875,4.40625,1,0,NaN,0,0,1.71,"",NaN,NaN,NaN,NaN,NaN,0,0,1.68,"",NaN,NaN,NaN,NaN,NaN,0,0,1.71,"",NaN,NaN,NaN,NaN,NaN,0,0,1.74,"",NaN,NaN,NaN,NaN,NaN,0,0,1.74,"",NaN,NaN,NaN,NaN,NaN,0,0,1.74,"",24,4.375,1,0,NaN,0,0,1.68,"",25,4.3125,1,0,NaN,0,0,1.68,"",NaN,NaN,NaN,NaN,NaN,0,0,1.71,"",NaN,NaN,NaN,NaN
0.5,1.5,1.65,NaN,NaN,0,NaN,NaN,NaN,0.5,1.5,1.74,NaN,NaN,0,NaN,NaN,NaN,0.5,1.5,1.65,NaN,NaN,0,NaN,NaN,NaN,0.5,1.5,1.68,NaN,NaN,0,NaN,NaN,NaN,0.5,1.5,1.68,"",NaN,NaN,NaN,NaN,NaN,0.5,1.5,1.65,"",NaN,NaN,NaN,NaN,NaN,0.5,1.5,1.68,"",NaN,NaN,NaN,NaN,NaN,0.5,1.5,1.71,"",NaN,NaN,NaN,NaN,NaN,0.5,1.5,1.71,"",NaN,NaN,NaN,NaN,NaN,0.5,1.5,1.71,"",NaN,NaN,NaN,NaN,NaN,0.5,1.5,1.65,"",NaN,NaN,NaN,NaN,NaN,0.5,1.5,1.65,"",NaN,NaN,NaN,NaN,NaN,0.5,1.5,1.68,"",NaN,NaN,NaN,NaN
1,3,1.62,NaN,NaN,0,NaN,NaN,NaN,1,3,1.71,NaN,NaN,0,NaN,NaN,NaN,1,3,1.62,150.78125,155.21875,4.4375,0.993031274,0,NaN,1,3,1.65,NaN,NaN,0,NaN,NaN,NaN,1,3,1.65,"",25,4.375,1,0,NaN,1,3,1.62,"",25,4.3125,0.9928314488,0,NaN,1,3,1.65,"",25,4.375,1,0,NaN,1,3,1.68,"",24,4.375,0.9929327736,0,NaN,1,3,1.68,"",24,4.375,0.9929327736,0,NaN,1,3,1.68,"",NaN,NaN,NaN,NaN,NaN,1,3,1.62,"",NaN,NaN,NaN,NaN,NaN,1,3,1.62,"",25,4.3125,0.9928314488,0,NaN,1,3,1.65,"",25,4.375,1,0
1.5,4.5,1.59,NaN,NaN,0,NaN,NaN,NaN,1.5,4.5,1.68,NaN,NaN,0,NaN,NaN,NaN,1.5,4.5,1.59,NaN,NaN,0,NaN,NaN,NaN,1.5,4.5,1.62,NaN,NaN,0,NaN,NaN,NaN,1.5,4.5,1.62,"",NaN,NaN,NaN,NaN,NaN,1.5,4.5,1.59,"",NaN,NaN,NaN,NaN,NaN,1.5,4.5,1.62,"",NaN,NaN,NaN,NaN,NaN,1.5,4.5,1.65,"",NaN,NaN,NaN,NaN,NaN,1.5,4.5,1.65,"",NaN,NaN,NaN,NaN,NaN,1.5,4.5,1.65,"",NaN,NaN,NaN,NaN,NaN,1.5,4.5,1.59,"",NaN,NaN,NaN,NaN,NaN,1.5,4.5,1.59,"",NaN,NaN,NaN,NaN,NaN,1.5,4.5,1.62,"",NaN,NaN,NaN,NaN
2,6,1.56,150.75,155.21875,4.46875,0.9965217286,0,NaN,2,6,1.65,150.8125,155.1875,4.375,0.9894548898,0,NaN,2,6,1.56,150.78125,155.1875,4.40625,0.9895285073,0,NaN,2,6,1.59,150.78125,155.1875,4.40625,1,0,NaN,2,6,1.59,"",25,4.375,1,0,NaN,2,6,1.56,"",NaN,NaN,NaN,NaN,NaN,2,6,1.59,"",NaN,NaN,NaN,NaN,NaN,2,6,1.62,"",NaN,NaN,NaN,NaN,NaN,2,6,1.62,"",NaN,NaN,NaN,NaN,NaN,2,6,1.62,"",24,4.375,1,0,NaN,2,6,1.56,"",25,4.3125,1,0,NaN,2,6,1.56,"",NaN,NaN,NaN,NaN,NaN,2,6,1.59,"",25,4.375,1,0
2.5,7.5,1.53,NaN,NaN,0,NaN,NaN,NaN,2.5,7.5,1.62,NaN,NaN,0,NaN,NaN,NaN,2.5,7.5,1.53,NaN,NaN,0,NaN,NaN,NaN,2.5,7.5,1.56,NaN,NaN,0,NaN,NaN,NaN,2.5,7.5,1.56,"",NaN,NaN,NaN,NaN,NaN,2.5,7.5,1.53,"",NaN,NaN,NaN,NaN,NaN,2.5,7.5,1.56,"",NaN,NaN,NaN,NaN,NaN,2.5,7.5,1.59,"",NaN,NaN,NaN,NaN,NaN,2.5,7.5,1.59,"",NaN,NaN,NaN,NaN,NaN,2.5,7.5,1.59,"",NaN,NaN,NaN,NaN,NaN,2.5,7.5,1.53,"",NaN,NaN,NaN,NaN,NaN,2.5,7.5,1.53,"",NaN,NaN,NaN,NaN,NaN,2.5,7.5,1.56,"",NaN,NaN,NaN,NaN
3,9,1.5,NaN,NaN,0,NaN,NaN,NaN,3,9,1.59,NaN,NaN,0,NaN,NaN,NaN,3,9,1.5,150.78125,155.1875,4.40625,0.9895285073,0,NaN,3,9,1.53,NaN,NaN,0,NaN,NaN,NaN,3,9,1.53,"",25,4.375,1,0,NaN,3,9,1.5,"",25,4.3125,0.9928314488,0,NaN,3,9,1.53,"",25,4.375,1,0,NaN,3,9,1.56,"",24,4.375,0.9929327736,0,NaN,3,9,1.56,"",24,4.375,0.9929327736,0,NaN,3,9,1.56,"",NaN,NaN,NaN,NaN,NaN,3,9,1.5,"",NaN,NaN,NaN,NaN,NaN,3,9,1.5,"",25,4.3125,0.9928314488,0,NaN,3,9,1.53,"",25,4.375,1,0
