46,4.375,46,4.375,46,4.375,46,4.34375,46,4.375,46,4.25,46,4.25
47,4.375,47,4.375,47,4.375,47,4.375,47,4.375,47,4.3125,47,4.25
48,4.375,48,4.4375,48,4.375,48,4.375,48,4.375,48,4.34375,48,4.3125
49,4.375,49,4.4375,49,4.375,49,4.375,49,4.375,49,4.375,49,4.3125
50,4.375,50,4.4375,50,4.375,50,4.40625,50,4.375,50,4.375,50,4.34375
51,4.375,51,4.4375,51,4.375,51,4.40625,51,4.40625,51,4.40625,51,4.375
52,4.375,52,4.4375,52,4.375,52,4.40625,52,4.4375,52,4.40625,52,4.375
53,4.375,53,4.4375,53,4.375,53,4.40625,53,4.4375,53,4.40625,53,4.375
54,4.375,54,4.4375,54,4.375,54,4.40625,54,4.4375,54,4.40625,54,4.375
55,0,55,4.4375,55,4.375,55,4.4375,55,4.4375,55,4.40625,55,4.375
56,0,56,4.4375,56,4.4375,56,4.4375,56,4.4375,56,4.40625,56,4.40625
57,0,57,4.4375,57,4.4375,57,4.4375,57,4.4375,57,4.40625,57,4.40625
58,0,58,4.4375,58,4.4375,58,4.4375,58,4.4375,58,4.40625,58,4.40625
59,0,59,4.4375,59,4.4375,59,4.4375,59,4.4375,59,4.40625,59,4.40625
60,0,60,4.4375,60,4.4375,60,4.4375,60,4.4375,60,4.40625,60,4.40625
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
