Constant parameters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disc name,A6,,All distances are in inches unless otherwise specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"After taking this station of data: using the carpenter square and also looking through the holes in the test frame, it looks like the bottom of the disc is slightly downstream of the top of the disc. The tilt on the disc appears on the order of 1°. This may be because of the knot placement on the disc (the lower near side knot is on the upstream side of the disc, whereas some of the upper knots are closer to the downstream side of the disc). ",,,,,,,,,"Before taking data: removed frame from wind tunnel and measured the angle of the disc from vertical using the Level function in an iPhone's Measure app. The disk was 1º to 2° off of vertical. By adjusting the position of the knots on the disc, we corrected the level to within on the order of 0.1º. We also re-tightened the strings, which were looser than they were at the beginning of testing yesterday. ",,,,,,,,,"After we finished measuring this station, when we lifted the frame out of the wind tunnel, we noticed that the tensioning screw on the near side was loose (enough to slide in its track) and the wires were slack. We aren't sure if the screw had already slid during testing before we removed the frame, or if it stayed in place during the test and only slid when we lifted the frame. ",,,,,,,,,,,,,,,,,,It looks like the data from July 12 were indeed faulty due to the slippage of the tensioning screws. ,,,,,,,,,"Trying new inputting method that will be faster for Raaghav. This assumes conservation of volume such that we only read 1 side of the manometer instead of both. Therefore, a 1/32"" reading difference on one side results in a 1/16"" difference in delta h. Also, re-aligned and tightened disc using allen wrench. Verticalized using carpenter square as before, to within ~0.1º. ",,,,,,,,,Same inputting method and verticality procedure as last time.,,,,,,,,,,,,,,,,,,Wind tunnel was on continuously between stations 7 and 8. ,,,,,,,,,,,,,,,,,,It looks like the data from July 12 were indeed faulty due to the slippage of the tensioning screws. ,,,,,,,,,,,,,,,,
Station 2,July 11,,,,,,,,Station 3 (deprecated),July 11,,,,,,,,Station 3 (deprecated),July 12,,,,,,,,Station 4 (deprecated),July 12,,,,,,,,Station 3,7/20,,,,,,,,Station 4,7/20,,,,,,,,Station 5,July 14,,,,,,,,Station 6,July 18,,,,,,,,Station 7,date,,,,,,,,Station 8,date,,,,,,,,Station 9,July 20,80 degrees,,,,,,,Station 4,7/20,,,,,,,,Station 3,7/20,,,,,,
Δh_infinity,4.5,,"Unobstructed momentum (rho-, D-, and U-normalized)",0.6597344573,,,U inclusion threshold for thrust,,Δh_infinity,4.46875,,"Unobstructed momentum (rho-, D-, and U-normalized)",0.6597344573,,,U inclusion threshold for thrust,,Δh_infinity,4.5,,"Unobstructed momentum (rho-, D-, and U-normalized)",0.6597344573,,,U inclusion threshold for thrust,,Δh_infinity,4.40625,,"Unobstructed momentum (rho-, D-, and U-normalized)",0.6597344573,,,U inclusion threshold for thrust,,Δh_infinity,4.375,,"Unobstructed momentum (rho-, D-, and U-normalized)",0.6597344573,,,U inclusion threshold for thrust,,Δh_infinity,4.375,,"Unobstructed momentum (rho-, D-, and U-normalized)",0.6597344573,,,U inclusion threshold for thrust,,Δh_infinity,4.375,,"Unobstructed momentum (rho-, D-, and U-normalized)",0.6597344573,,,U inclusion threshold for thrust,,Δh_infinity,4.4375,,"Unobstructed momentum (rho-, D-, and U-normalized)",0.6597344573,,,U inclusion threshold for thrust,,Δh_infinity,4.4375,,"Unobstructed momentum (rho-, D-, and U-normalized)",0.6597344573,,,U inclusion threshold for thrust,,Δh_infinity,4.375,,"Unobstructed momentum (rho-, D-, and U-normalized)",0.6597344573,,,U inclusion threshold for thrust,,Δh_infinity,4.3125,,"Unobstructed momentum (rho-, D-, and U-normalized)",0.6597344573,,,U inclusion threshold for thrust,,Δh_infinity,4.375,,"Unobstructed momentum (rho-, D-, and U-normalized)",0.6597344573,,,U inclusion threshold for thrust,,Δh_infinity,4.375,,"Unobstructed momentum (rho-, D-, and U-normalized)",0.6597344573,,,U inclusion threshold for thrust
Horiz pitot-arm-position reading (cm),10.5,,Isobaric thrust (sum of half circles = 0.5 * sum of circles),0.2087531051,,,0.98,,Horiz pitot-arm-position reading (cm),15.5,,Isobaric thrust (sum of half circles = 0.5 * sum of circles),0.2176074875,,,0.98,,Horiz pitot-arm-position reading (cm),15.4,,Isobaric thrust (sum of half circles = 0.5 * sum of circles),0.2160728467,,,0.98,,Horiz pitot-arm-position reading (cm),20.5,,Isobaric thrust (sum of half circles = 0.5 * sum of circles),0.2069242467,,,0.98,,Horiz pitot-arm-position reading (cm),15.5,,Isobaric thrust (sum of half circles = 0.5 * sum of circles),0.2041389792,,,0.98,,Horiz pitot-arm-position reading (cm),20.5,,Isobaric thrust (sum of half circles = 0.5 * sum of circles),0.2068349127,,,0.98,,Horiz pitot-arm-position reading (cm),25.5,,Isobaric thrust (sum of half circles = 0.5 * sum of circles),0.1994006393,,,0.98,,Horiz pitot-arm-position reading (cm),30.5,,Isobaric thrust (sum of half circles = 0.5 * sum of circles),0.20064406,,,0.98,,Horiz pitot-arm-position reading (cm),35.5,,Isobaric thrust (sum of half circles = 0.5 * sum of circles),0.1826379884,,,0.98,,Horiz pitot-arm-position reading (cm),40.5,,Isobaric thrust (sum of half circles = 0.5 * sum of circles),0.1742024063,,,0.98,,Horiz pitot-arm-position reading (cm),45.5,,Isobaric thrust (sum of half circles = 0.5 * sum of circles),0.171994985,,,0.98,,Horiz pitot-arm-position reading (cm),20.5,,Isobaric thrust (sum of half circles = 0.5 * sum of circles),0.2068349127,,,0.98,,Horiz pitot-arm-position reading (cm),15.5,,Isobaric thrust (sum of half circles = 0.5 * sum of circles),0.2041389792,,,0.98
Horiz pitot downstream distance (cm),10.073,,Thrust coefficient,0.632839782,,,,,Horiz pitot downstream distance (cm),15.073,,Thrust coefficient,0.6596820436,,,,,Horiz pitot downstream distance (cm),14.973,,Thrust coefficient,0.655029745,,,,,Horiz pitot downstream distance (cm),20.073,,Thrust coefficient,0.6272955563,,,,,Horiz pitot downstream distance (cm),15.073,,Thrust coefficient,0.6188519547,,,,,Horiz pitot downstream distance (cm),20.073,,Thrust coefficient,0.6270247384,,,,,Horiz pitot downstream distance (cm),25.073,,Thrust coefficient,0.6044875695,,,,,Horiz pitot downstream distance (cm),30.073,,Thrust coefficient,0.6082570277,,,,,Horiz pitot downstream distance (cm),35.073,,Thrust coefficient,0.5536712125,,,,,Horiz pitot downstream distance (cm),40.073,,Thrust coefficient,0.5280985537,,,,,Horiz pitot downstream distance (cm),45.073,,Thrust coefficient,0.5214067056,,,,,Horiz pitot downstream distance (cm),20.073,,Thrust coefficient,0.6270247384,,,,,Horiz pitot downstream distance (cm),15.073,,Thrust coefficient,0.6188519547,,,
x/D,2.0145,,,,,,"Trapezium, full circle",,x/D,3.0145,,,,,,"Trapezium, full circle",,x/D,2.9945,,,,,,"Trapezium, full circle",,x/D,4.0145,,,,,,"Trapezium, full circle",,x/D,3.0145,,,,,,"Trapezium, full circle",,x/D,4.0145,,,,,,"Trapezium, full circle",,x/D,5.0145,,,,,,"Trapezium, full circle",,x/D,6.0145,,,,,,"Trapezium, full circle",,x/D,7.0145,,,,,,"Trapezium, full circle",,x/D,8.0145,,,,,,"Trapezium, full circle",,x/D,9.0145,,,,,,"Trapezium, full circle",,x/D,4.0145,,,,,,"Trapezium, full circle",,x/D,3.0145,,,,,,"Trapezium, full circle"
y at r=0,84,,,,,,"dF = pi*(ro-ri)*(ro*uo*(1-uo)+ri*ui*(1-ui)) where o=outer, i=inner",,y at r=0,88.5,,,,,,"dF = pi*(ro-ri)*(ro*uo*(1-uo)+ri*ui*(1-ui)) where o=outer, i=inner",,y at r=0,84,,,,,,"dF = pi*(ro-ri)*(ro*uo*(1-uo)+ri*ui*(1-ui)) where o=outer, i=inner",,y at r=0,85.5,,,,,,"dF = pi*(ro-ri)*(ro*uo*(1-uo)+ri*ui*(1-ui)) where o=outer, i=inner",,y at r=0,85.5,,,,,,"dF = pi*(ro-ri)*(ro*uo*(1-uo)+ri*ui*(1-ui)) where o=outer, i=inner",,y at r=0,84,,,,,,"dF = pi*(ro-ri)*(ro*uo*(1-uo)+ri*ui*(1-ui)) where o=outer, i=inner",,y at r=0,85.5,,,,,,"dF = pi*(ro-ri)*(ro*uo*(1-uo)+ri*ui*(1-ui)) where o=outer, i=inner",,y at r=0,87,,,,,,"dF = pi*(ro-ri)*(ro*uo*(1-uo)+ri*ui*(1-ui)) where o=outer, i=inner",,y at r=0,87,,,,,,"dF = pi*(ro-ri)*(ro*uo*(1-uo)+ri*ui*(1-ui)) where o=outer, i=inner",,y at r=0,87,,,,,,"dF = pi*(ro-ri)*(ro*uo*(1-uo)+ri*ui*(1-ui)) where o=outer, i=inner",,y at r=0,84,,,,,,"dF = pi*(ro-ri)*(ro*uo*(1-uo)+ri*ui*(1-ui)) where o=outer, i=inner",,y at r=0,84,,,,,,"dF = pi*(ro-ri)*(ro*uo*(1-uo)+ri*ui*(1-ui)) where o=outer, i=inner",,y at r=0,85.5,,,,,,"dF = pi*(ro-ri)*(ro*uo*(1-uo)+ri*ui*(1-ui)) where o=outer, i=inner"
# crank revs below starting position,y (mm),r/D,h1,h2,Δh = h2 - h1,U/Uinf,Normalized thrust (full circles),,# crank revs below starting position,y (mm),r/D,h1,h2,Δh = h2 - h1,U/Uinf,Normalized thrust (full circles),,# crank revs below starting position,y (mm),r/D,h1,h2,Δh = h2 - h1,U/Uinf,Normalized thrust (full circles),,# crank revs below starting position,y (mm),r/D,h1,h2,Δh = h2 - h1,U/Uinf,Normalized thrust (full circles),,# crank revs below starting position,y (mm),r/D,[unused],"h (x/32"" above 150"" mark)",Δh = (h0-h)*2,U/Uinf,Normalized thrust (full circles),,# crank revs below starting position,y (mm),r/D,[unused],"h (x/32"" above 150"" mark)",Δh = (h0-h)*2,U/Uinf,Normalized thrust (full circles),,# crank revs below starting position,y (mm),r/D,[unused],"h (x/32"" above 150"" mark)",Δh = (h0-h)*2,U/Uinf,Normalized thrust (full circles),,# crank revs below starting position,y (mm),r/D,[unused],"h (x/32"" above 150"" mark)",Δh = (h0-h)*2,U/Uinf,Normalized thrust (full circles),,# crank revs below starting position,y (mm),r/D,[unused],"h (x/32"" above 150"" mark)",Δh = (h0-h)*2,U/Uinf,Normalized thrust (full circles),,# crank revs below starting position,y (mm),r/D,[unused],"h (x/32"" above 150"" mark)",Δh = (h0-h)*2,U/Uinf,Normalized thrust (full circles),,# crank revs below starting position,y (mm),r/D,[unused],"h (x/32"" above 150"" mark)",Δh = (h0-h)*2,U/Uinf,Normalized thrust (full circles),,# crank revs below starting position,y (mm),r/D,[unused],"h (x/32"" above 150"" mark)",Δh = (h0-h)*2,U/Uinf,Normalized thrust (full circles),,# crank revs below starting position,y (mm),r/D,[unused],"h (x/32"" above 150"" mark)",Δh = (h0-h)*2,U/Uinf,Normalized thrust (full circles)
-15,-45,2.58,,,0,,,,-15,-45,2.67,150.78125,155.21875,4.4375,0.9965,0.0000,,-15,-45,2.58,150.75,155.25,4.5,1.0000,0.0000,,-15,-45,2.61,150.75,155.21875,4.46875,1.0071,0.0000,,-15,-45,2.61,,24,4.4375,1.0071,0.0000,,-15,-45,2.58,,24,4.375,1.0000,0.0000,,-15,-45,2.61,,,,,,,-15,-45,2.64,,,,,,,-15,-45,2.64,,,,,,,-15,-45,2.64,,24,4.375,1.0000,0.0000,,-15,-45,2.58,,,,,,,-15,-45,2.58,,24,4.375,1.0000,0.0000,,-15,-45,2.61,,24,4.4375,1.0071,0.0000
-14.5,-43.5,2.55,,,0,,,,-14.5,-43.5,2.64,,,0,,,,-14.5,-43.5,2.55,,,0,,,,-14.5,-43.5,2.58,,,0,,,,-14.5,-43.5,2.58,,,,,,,-14.5,-43.5,2.55,,,,,,,-14.5,-43.5,2.58,,,,,,,-14.5,-43.5,2.61,,,,,,,-14.5,-43.5,2.61,,,,,,,-14.5,-43.5,2.61,,,,,,,-14.5,-43.5,2.55,,,,,,,-14.5,-43.5,2.55,,,,,,,-14.5,-43.5,2.58,,,,,
