Data,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,TopOfTheDiscIsUpstreamOfBottomOfDisc,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,TopOfTheDiscIsDownstreamOfBottomOfDisc,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55,Var56,Var57,Var58,Var59,Var60,Var61,Var62,Var63,Var64,Var65,Var66,Var67,Var68,Var69,Var70,Var71
55.5,166.5,-1.83,NaN,NaN,0,,"",NaN,55.5,166.5,-1.83,NaN,NaN,0,,"",NaN,55.5,166.5,-1.83,NaN,NaN,0,,"",NaN,55.5,166.5,-1.83,NaN,NaN,0,,"",NaN,55.5,166.5,-1.83,NaN,NaN,0,,"",NaN,55.5,166.5,-1.83,NaN,NaN,0,,"",NaN,55.5,166.5,-1.83,"",NaN,0,,"",NaN,55.5,166.5,-1.83,"",NaN,0,,""
56,168,-1.86,NaN,NaN,0,,"",NaN,56,168,-1.86,149.75,154.1875,4.4375,1,"0",NaN,56,168,-1.86,NaN,NaN,0,,"",NaN,56,168,-1.86,NaN,NaN,0,,"",NaN,56,168,-1.86,NaN,NaN,0,,"",NaN,56,168,-1.86,NaN,NaN,0,,"",NaN,56,168,-1.86,"",NaN,0,,"",NaN,56,168,-1.86,"",NaN,0,,""
56.5,169.5,-1.89,NaN,NaN,0,,"",NaN,56.5,169.5,-1.89,NaN,NaN,0,,"",NaN,56.5,169.5,-1.89,NaN,NaN,0,,"",NaN,56.5,169.5,-1.89,NaN,NaN,0,,"",NaN,56.5,169.5,-1.89,NaN,NaN,0,,"",NaN,56.5,169.5,-1.89,NaN,NaN,0,,"",NaN,56.5,169.5,-1.89,"",NaN,0,,"",NaN,56.5,169.5,-1.89,"",NaN,0,,""
57,171,-1.92,NaN,NaN,0,,"",NaN,57,171,-1.92,149.75,154.1875,4.4375,1,"0",NaN,57,171,-1.92,NaN,NaN,0,,"",NaN,57,171,-1.92,NaN,NaN,0,,"",NaN,57,171,-1.92,NaN,NaN,0,,"",NaN,57,171,-1.92,NaN,NaN,0,,"",NaN,57,171,-1.92,"",NaN,0,,"",NaN,57,171,-1.92,"",NaN,0,,""
57.5,172.5,-1.95,NaN,NaN,0,,"",NaN,57.5,172.5,-1.95,NaN,NaN,0,,"",NaN,57.5,172.5,-1.95,NaN,NaN,0,,"",NaN,57.5,172.5,-1.95,NaN,NaN,0,,"",NaN,57.5,172.5,-1.95,NaN,NaN,0,,"",NaN,57.5,172.5,-1.95,NaN,NaN,0,,"",NaN,57.5,172.5,-1.95,"",NaN,0,,"",NaN,57.5,172.5,-1.95,"",NaN,0,,""
58,174,-1.98,NaN,NaN,0,,"",NaN,58,174,-1.98,149.75,154.1875,4.4375,1,"0",NaN,58,174,-1.98,NaN,NaN,0,,"",NaN,58,174,-1.98,NaN,NaN,0,,"",NaN,58,174,-1.98,NaN,NaN,0,,"",NaN,58,174,-1.98,NaN,NaN,0,,"",NaN,58,174,-1.98,"",NaN,0,,"",NaN,58,174,-1.98,"",NaN,0,,""
58.5,175.5,-2.01,NaN,NaN,0,,"",NaN,58.5,175.5,-2.01,NaN,NaN,0,,"",NaN,58.5,175.5,-2.01,NaN,NaN,0,,"",NaN,58.5,175.5,-2.01,NaN,NaN,0,,"",NaN,58.5,175.5,-2.01,NaN,NaN,0,,"",NaN,58.5,175.5,-2.01,NaN,NaN,0,,"",NaN,58.5,175.5,-2.01,"",NaN,0,,"",NaN,58.5,175.5,-2.01,"",NaN,0,,""
59,177,-2.04,NaN,NaN,0,,"",NaN,59,177,-2.04,149.75,154.1875,4.4375,1,"0",NaN,59,177,-2.04,NaN,NaN,0,,"",NaN,59,177,-2.04,NaN,NaN,0,,"",NaN,59,177,-2.04,NaN,NaN,0,,"",NaN,59,177,-2.04,NaN,NaN,0,,"",NaN,59,177,-2.04,"",NaN,0,,"",NaN,59,177,-2.04,"",NaN,0,,""
59.5,178.5,-2.07,NaN,NaN,0,,"",NaN,59.5,178.5,-2.07,NaN,NaN,0,,"",NaN,59.5,178.5,-2.07,NaN,NaN,0,,"",NaN,59.5,178.5,-2.07,NaN,NaN,0,,"",NaN,59.5,178.5,-2.07,NaN,NaN,0,,"",NaN,59.5,178.5,-2.07,NaN,NaN,0,,"",NaN,59.5,178.5,-2.07,"",NaN,0,,"",NaN,59.5,178.5,-2.07,"",NaN,0,,""
60,180,-2.1,149.71875,154.15625,4.4375,1,"0",NaN,60,180,-2.1,149.75,154.1875,4.4375,1,"0",NaN,60,180,-2.1,149.75,154.125,4.375,1,"0",NaN,60,180,-2.1,149.75,154.125,4.375,1,"0",NaN,60,180,-2.1,NaN,NaN,0,,"",NaN,60,180,-2.1,NaN,NaN,0,,"",NaN,60,180,-2.1,"",NaN,0,,"",NaN,60,180,-2.1,"",NaN,0,,""
