Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,TopSideDownstream_ButTheWindJustBroughtItBackAndMadeItTiltAnoth,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,PushedTheWholeDiskAllTheWayToDownstream_AndThenPushedTheTopSide,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,PushedTheWholeDiskAllTheWayToDownstream_AndThenPushedTheTopSi_1,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,PushedTheWholeDiskAllTheWayToDownstream_AndThenPushedTheTopSi_2,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55,Var56,Var57,Var58,Var59,Var60,Var61,Var62,Var63,Var64,Var65,Var66,Var67,Var68,Var69,Var70,Var71
-13.5,-40.5,2.31,"",NaN,0,,"",NaN,-13.5,-40.5,2.31,"",NaN,0,,"",NaN,-13.5,-40.5,2.43,NaN,NaN,0,,"",NaN,-13.5,-40.5,2.43,NaN,NaN,0,,"",NaN,-13.5,-40.5,2.43,NaN,NaN,0,,"",NaN,-13.5,-40.5,2.43,NaN,NaN,0,,"",NaN,-13.5,-40.5,2.43,"",NaN,0,,"",NaN,-13.5,-40.5,2.43,"",NaN,0,,""
-13,-39,2.28,"",NaN,0,,"",NaN,-13,-39,2.28,"",NaN,0,,"",NaN,-13,-39,2.4,NaN,NaN,0,,"",NaN,-13,-39,2.4,NaN,NaN,0,,"",NaN,-13,-39,2.4,NaN,NaN,0,,"",NaN,-13,-39,2.4,NaN,NaN,0,,"",NaN,-13,-39,2.4,"",NaN,0,,"",NaN,-13,-39,2.4,"",NaN,0,,""
-12.5,-37.5,2.25,"",NaN,0,,"",NaN,-12.5,-37.5,2.25,"",NaN,0,,"",NaN,-12.5,-37.5,2.37,NaN,NaN,0,,"",NaN,-12.5,-37.5,2.37,NaN,NaN,0,,"",NaN,-12.5,-37.5,2.37,NaN,NaN,0,,"",NaN,-12.5,-37.5,2.37,NaN,NaN,0,,"",NaN,-12.5,-37.5,2.37,"",NaN,0,,"",NaN,-12.5,-37.5,2.37,"",NaN,0,,""
-12,-36,2.22,"",NaN,0,,"",NaN,-12,-36,2.22,"",NaN,0,,"",NaN,-12,-36,2.34,NaN,NaN,0,,"",NaN,-12,-36,2.34,NaN,NaN,0,,"",NaN,-12,-36,2.34,NaN,NaN,0,,"",NaN,-12,-36,2.34,NaN,NaN,0,,"",NaN,-12,-36,2.34,"",NaN,0,,"",NaN,-12,-36,2.34,"",NaN,0,,""
-11.5,-34.5,2.19,"",NaN,0,,"",NaN,-11.5,-34.5,2.19,"",NaN,0,,"",NaN,-11.5,-34.5,2.31,NaN,NaN,0,,"",NaN,-11.5,-34.5,2.31,NaN,NaN,0,,"",NaN,-11.5,-34.5,2.31,NaN,NaN,0,,"",NaN,-11.5,-34.5,2.31,NaN,NaN,0,,"",NaN,-11.5,-34.5,2.31,"",NaN,0,,"",NaN,-11.5,-34.5,2.31,"",NaN,0,,""
-11,-33,2.16,"",NaN,0,,"",NaN,-11,-33,2.16,"",NaN,0,,"",NaN,-11,-33,2.28,NaN,NaN,0,,"",NaN,-11,-33,2.28,NaN,NaN,0,,"",NaN,-11,-33,2.28,NaN,NaN,0,,"",NaN,-11,-33,2.28,NaN,NaN,0,,"",NaN,-11,-33,2.28,"",NaN,0,,"",NaN,-11,-33,2.28,"",NaN,0,,""
-10.5,-31.5,2.13,"",NaN,0,,"",NaN,-10.5,-31.5,2.13,"",NaN,0,,"",NaN,-10.5,-31.5,2.25,NaN,NaN,0,,"",NaN,-10.5,-31.5,2.25,NaN,NaN,0,,"",NaN,-10.5,-31.5,2.25,NaN,NaN,0,,"",NaN,-10.5,-31.5,2.25,NaN,NaN,0,,"",NaN,-10.5,-31.5,2.25,"",NaN,0,,"",NaN,-10.5,-31.5,2.25,"",NaN,0,,""
-10,-30,2.1,"",NaN,0,,"",NaN,-10,-30,2.1,"",NaN,0,,"",NaN,-10,-30,2.22,NaN,NaN,0,,"",NaN,-10,-30,2.22,NaN,NaN,0,,"",NaN,-10,-30,2.22,NaN,NaN,0,,"",NaN,-10,-30,2.22,NaN,NaN,0,,"",NaN,-10,-30,2.22,"",NaN,0,,"",NaN,-10,-30,2.22,"",NaN,0,,""
-9.5,-28.5,2.07,"",NaN,0,,"",NaN,-9.5,-28.5,2.07,"",NaN,0,,"",NaN,-9.5,-28.5,2.19,NaN,NaN,0,,"",NaN,-9.5,-28.5,2.19,NaN,NaN,0,,"",NaN,-9.5,-28.5,2.19,NaN,NaN,0,,"",NaN,-9.5,-28.5,2.19,NaN,NaN,0,,"",NaN,-9.5,-28.5,2.19,"",NaN,0,,"",NaN,-9.5,-28.5,2.19,"",NaN,0,,""
-9,-27,2.04,"",NaN,0,,"",NaN,-9,-27,2.04,"",NaN,0,,"",NaN,-9,-27,2.16,NaN,NaN,0,,"",NaN,-9,-27,2.16,NaN,NaN,0,,"",NaN,-9,-27,2.16,NaN,NaN,0,,"",NaN,-9,-27,2.16,NaN,NaN,0,,"",NaN,-9,-27,2.16,"",NaN,0,,"",NaN,-9,-27,2.16,"",NaN,0,,""
