Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17
Δh = x-y,4.28125,4.78125,4.84375,4.96875,5,5.03125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
30,0.8924750013,0.9431515699,0.9492959447,0.9644856443,0.9644856443,0.9644856443,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
x,154.15625,154.40625,154.4375,154.53125,154.5,154.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
y,149.875,149.625,149.59375,149.53125,149.5,149.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
Δh = x-y,4.28125,4.78125,4.84375,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
31,0.8989658141,0.9431515699,0.9554008047,0.9674949672,0.9674949672,0.9704949588,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
x,154.15625,154.40625,154.46875,154.53125,154.53125,154.5625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
y,149.8125,149.625,149.5625,149.5,149.5,149.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
Δh = x-y,4.34375,4.78125,4.90625,5.03125,5.03125,5.0625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
32,0.9213236181,0.9431515699,0.9614669025,0.9764672919,0.9734857054,0.9704949588,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
x,154.25,154.375,154.5,154.59375,154.5625,154.5625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
y,149.6875,149.59375,149.53125,149.46875,149.46875,149.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
Δh = x-y,4.5625,4.78125,4.96875,5.125,5.09375,5.0625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
33,0.93074114,0.9523532665,0.9614669025,0.9764672919,0.9734857054,0.9764672919,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
