Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55,Var56,Var57,Var58,Var59,Var60,Var61,Var62,Var63,Var64,Var65,Var66,Var67,Var68,Var69,Var70,Var71,Var72,Var73,Var74,Var75,Var76,Var77,Var78,Var79,Var80
3,0.3,1.2192,149.90625,154.0625,4.15625,1,0,NaN,-12,-1.2,1.9812,149.875,154.125,4.25,1.011215304,NaN,NaN,-12,-1.2,1.9812,149.75,154.25,4.5,1,0,NaN,-12,-1.2,2.1336,149.75,154.25,4.5,1,0,NaN,-12,-1.2,2.1336,149.75,154.25,4.5,1,0,NaN,-12,-1.2,2.1336,149.75,154.25,4.5,1,0,NaN,-12,-1.2,2.1336,149.75,154.25,4.5,1,0,NaN,-12,-1.2,2.1336,149.75,154.25,4.5,1,0,NaN,-12,-1.2,2.1336,149.75,154.25,4.5,1,0
4,0.4,1.1684,149.90625,154.0625,4.15625,1,0,NaN,-11,-1.1,1.9304,149.90625,154.09375,4.1875,1.003752358,NaN,NaN,-11,-1.1,1.9304,149.75,154.25,4.5,1,0,NaN,-11,-1.1,2.0828,149.75,154.25,4.5,1,0,NaN,-11,-1.1,2.0828,149.75,154.25,4.5,1,0,NaN,-11,-1.1,2.0828,149.75,154.25,4.5,1,0,NaN,-11,-1.1,2.0828,149.75,154.25,4.5,1,0,NaN,-11,-1.1,2.0828,149.75,154.25,4.5,1,0,NaN,-11,-1.1,2.0828,149.75,154.25,4.5,1,0
5,0.5,1.1176,149.90625,154.0625,4.15625,1,0,NaN,-10,-1,1.8796,149.9375,154.03125,4.09375,0.9924527223,NaN,NaN,-10,-1,1.8796,149.75,154.25,4.5,1,0,NaN,-10,-1,2.032,149.75,154.25,4.5,1,0,NaN,-10,-1,2.032,149.75,154.25,4.5,1,0,NaN,-10,-1,2.032,149.75,154.25,4.5,1,0,NaN,-10,-1,2.032,149.75,154.25,4.5,1,0,NaN,-10,-1,2.032,149.75,154.25,4.5,1,0,NaN,-10,-1,2.032,149.75,154.25,4.5,1,0
6,0.6,1.0668,149.9375,154.0625,4.125,0.9962335083,0.0006236333347,NaN,-9,-0.9,1.8288,149.9375,154.0625,4.125,0.9962335083,NaN,NaN,-9,-0.9,1.8288,149.75,154.25,4.5,1,0,NaN,-9,-0.9,1.9812,149.75,154.25,4.5,1,0,NaN,-9,-0.9,1.9812,149.75,154.25,4.5,1,0,NaN,-9,-0.9,1.9812,149.75,154.25,4.5,1,0,NaN,-9,-0.9,1.9812,149.75,154.25,4.5,1,0,NaN,-9,-0.9,1.9812,149.75,154.25,4.5,1,0,NaN,-9,-0.9,1.9812,149.75,154.25,4.5,1,0
7,0.7,1.016,149.9375,154.0625,4.125,0.9962335083,0.0005932121964,NaN,-8,-0.8,1.778,149.9375,154.0625,4.125,0.9962335083,NaN,NaN,-8,-0.8,1.778,149.75,154.25,4.5,1,0,NaN,-8,-0.8,1.9304,149.75,154.25,4.5,1,0,NaN,-8,-0.8,1.9304,149.75,154.25,4.5,1,0,NaN,-8,-0.8,1.9304,149.75,154.25,4.5,1,0,NaN,-8,-0.8,1.9304,149.75,154.25,4.5,1,0,NaN,-8,-0.8,1.9304,149.75,154.25,4.5,1,0,NaN,-8,-0.8,1.9304,149.75,154.25,4.5,1,0
8,0.8,0.9652,149.9375,154.0625,4.125,0.9962335083,0.0005627910581,NaN,-7,-0.7,1.7272,149.90625,154.0625,4.15625,1,0,NaN,-7,-0.7,1.7272,149.75,154.25,4.5,1,0,NaN,-7,-0.7,1.8796,149.75,154.25,4.5,1,0,NaN,-7,-0.7,1.8796,149.75,154.25,4.5,1,0,NaN,-7,-0.7,1.8796,149.75,154.25,4.5,1,0,NaN,-7,-0.7,1.8796,149.75,154.25,4.5,1,0,NaN,-7,-0.7,1.8796,149.75,154.25,4.5,1,0,NaN,-7,-0.7,1.8796,149.75,154.25,4.5,1,0
9,0.9,0.9144,149.9375,154.0625,4.125,0.9962335083,0.0005323699198,NaN,-6,-0.6,1.6764,149.90625,154.0625,4.15625,1,0,NaN,-6,-0.6,1.6764,149.75,154.25,4.5,1,0,NaN,-6,-0.6,1.8288,149.75,154.25,4.5,1,0,NaN,-6,-0.6,1.8288,149.75,154.25,4.5,1,0,NaN,-6,-0.6,1.8288,149.75,154.25,4.5,1,0,NaN,-6,-0.6,1.8288,149.75,154.25,4.5,1,0,NaN,-6,-0.6,1.8288,149.75,154.25,4.5,1,0,NaN,-6,-0.6,1.8288,149.75,154.25,4.5,1,0
10,1,0.8636,149.9375,154.0625,4.125,0.9962335083,0.0005019487816,NaN,-5,-0.5,1.6256,149.90625,154.0625,4.15625,1,0,NaN,-5,-0.5,1.6256,149.75,154.25,4.5,1,0,NaN,-5,-0.5,1.778,149.75,154.25,4.5,1,0,NaN,-5,-0.5,1.778,149.75,154.25,4.5,1,0,NaN,-5,-0.5,1.778,149.75,154.25,4.5,1,0,NaN,-5,-0.5,1.778,149.75,154.25,4.5,1,0,NaN,-5,-0.5,1.778,149.75,154.25,4.5,1,0,NaN,-5,-0.5,1.778,149.75,154.25,4.5,1,0
11,1.1,0.8128,149.9375,154.0625,4.125,0.9962335083,0.0004715276433,NaN,-4,-0.4,1.5748,149.90625,154.0625,4.15625,1,0,NaN,-4,-0.4,1.5748,149.75,154.25,4.5,1,0,NaN,-4,-0.4,1.7272,149.75,154.25,4.5,1,0,NaN,-4,-0.4,1.7272,149.75,154.25,4.5,1,0,NaN,-4,-0.4,1.7272,149.75,154.25,4.5,1,0,NaN,-4,-0.4,1.7272,149.75,154.25,4.5,1,0,NaN,-4,-0.4,1.7272,149.75,154.25,4.5,1,0,NaN,-4,-0.4,1.7272,149.75,154.25,4.5,1,0
12,1.2,0.762,149.9375,154.03125,4.09375,0.9924527223,0.0008805326344,NaN,-3,-0.3,1.524,149.90625,154.0625,4.15625,1,0,NaN,-3,-0.3,1.524,149.75,154.25,4.5,1,0,NaN,-3,-0.3,1.6764,149.75,154.25,4.5,1,0,NaN,-3,-0.3,1.6764,149.75,154.25,4.5,1,0,NaN,-3,-0.3,1.6764,149.75,154.25,4.5,1,0,NaN,-3,-0.3,1.6764,149.75,154.25,4.5,1,0,NaN,-3,-0.3,1.6764,149.75,154.25,4.5,1,0,NaN,-3,-0.3,1.6764,149.75,154.25,4.5,1,0
13,1.3,0.7112,149.9375,154.03125,4.09375,0.9924527223,0.0008198062458,NaN,-2,-0.2,1.4732,149.90625,154.0625,4.15625,1,0,NaN,-2,-0.2,1.4732,149.75,154.25,4.5,1,0,NaN,-2,-0.2,1.6256,149.75,154.25,4.5,1,0,NaN,-2,-0.2,1.6256,149.75,154.25,4.5,1,0,NaN,-2,-0.2,1.6256,149.75,154.25,4.5,1,0,NaN,-2,-0.2,1.6256,149.75,154.25,4.5,1,0,NaN,-2,-0.2,1.6256,149.75,154.25,4.5,1,0,NaN,-2,-0.2,1.6256,149.75,154.25,4.5,1,0
14,1.4,0.6604,149.96875,154.03125,4.0625,0.9886574781,0.001136430267,NaN,-1,-0.1,1.4224,149.90625,154.0625,4.15625,1,0,NaN,-1,-0.1,1.4224,149.75,154.25,4.5,1,0,NaN,-1,-0.1,1.5748,149.75,154.25,4.5,1,0,NaN,-1,-0.1,1.5748,149.75,154.25,4.5,1,0,NaN,-1,-0.1,1.5748,149.75,154.25,4.5,1,0,NaN,-1,-0.1,1.5748,149.75,154.25,4.5,1,0,NaN,-1,-0.1,1.5748,149.75,154.25,4.5,1,0,NaN,-1,-0.1,1.5748,149.78125,154.25,4.46875,0.9965217286,0.000857091871
15,1.5,0.6096,150.03125,153.96875,3.9375,0.9733285268,0.002420369071,NaN,0,0,1.3716,149.90625,154.0625,4.15625,1,0,NaN,0,0,1.3716,149.75,154.25,4.5,1,0,NaN,0,0,1.524,149.75,154.25,4.5,1,0,NaN,0,0,1.524,149.75,154.25,4.5,1,0,NaN,0,0,1.524,149.75,154.25,4.5,1,0,NaN,0,0,1.524,149.75,154.25,4.5,1,0,NaN,0,0,1.524,149.75,154.25,4.5,1,0,NaN,0,0,1.524,149.78125,154.25,4.46875,0.9965217286,0.0008289904982
16,1.6,0.5588,150.53125,153.5,2.96875,0.8451542547,0.01114042746,NaN,1,0.1,1.3208,149.90625,154.0625,4.15625,1,0,NaN,1,0.1,1.3208,149.75,154.21875,4.46875,0.9965217286,0.0007165850069,NaN,1,0.1,1.4732,149.75,154.25,4.5,1,0,NaN,1,0.1,1.4732,149.75,154.25,4.5,1,0,NaN,1,0.1,1.4732,149.75,154.25,4.5,1,0,NaN,1,0.1,1.4732,149.75,154.25,4.5,1,0,NaN,1,0.1,1.4732,149.75,154.25,4.5,1,0,NaN,1,0.1,1.4732,149.78125,154.25,4.46875,0.9965217286,0.0008008891254
17,1.7,0.508,151.3125,152.65625,1.34375,0.5686020319,0.01889241187,NaN,2,0.2,1.27,149.9375,154.0625,4.125,0.9962335083,0.0007453178878,NaN,2,0.2,1.27,149.75,154.21875,4.46875,0.9965217286,0.0006884836341,NaN,2,0.2,1.4224,149.75,154.25,4.5,1,0,NaN,2,0.2,1.4224,149.75,154.25,4.5,1,0,NaN,2,0.2,1.4224,149.75,154.25,4.5,1,0,NaN,2,0.2,1.4224,149.75,154.25,4.5,1,0,NaN,2,0.2,1.4224,149.75,154.25,4.5,1,0,NaN,2,0.2,1.4224,149.78125,154.25,4.46875,0.9965217286,0.0007727877526
18,1.8,0.4572,151.75,152.25,0.5,0.3468439878,0.01561159667,NaN,3,0.3,1.2192,149.9375,154.0625,4.125,0.9962335083,0.0007148967495,NaN,3,0.3,1.2192,149.75,154.21875,4.46875,0.9965217286,0.0006603822613,NaN,3,0.3,1.3716,149.75,154.25,4.5,1,0,NaN,3,0.3,1.3716,149.75,154.25,4.5,1,0,NaN,3,0.3,1.3716,149.75,154.25,4.5,1,0,NaN,3,0.3,1.3716,149.75,154.25,4.5,1,0,NaN,3,0.3,1.3716,149.78125,154.25,4.46875,0.9965217286,0.0007446863798,NaN,3,0.3,1.3716,149.78125,154.25,4.46875,0.9965217286,0.0007446863798
19,1.9,0.4064,152.21875,151.75,-0.46875,-0.3358302471,-0.02727781896,NaN,4,0.4,1.1684,149.9375,154.0625,4.125,0.9962335083,0.0006844756112,NaN,4,0.4,1.1684,149.75,154.21875,4.46875,0.9965217286,0.0006322808885,NaN,4,0.4,1.3208,149.75,154.25,4.5,1,0,NaN,4,0.4,1.3208,149.75,154.25,4.5,1,0,NaN,4,0.4,1.3208,149.78125,154.25,4.46875,0.9965217286,0.0007165850069,NaN,4,0.4,1.3208,149.75,154.25,4.5,1,0,NaN,4,0.4,1.3208,149.78125,154.25,4.46875,0.9965217286,0.0007165850069,NaN,4,0.4,1.3208,149.78125,154.25,4.46875,0.9965217286,0.0007165850069
